Date,Team1,Team2,Score,MatchResult,Score1,Score2,Team1_last5_win_rate,Team1_last5_avg_score,Team1_last5_avg_concede,MatchResult2,Team2_last5_win_rate,Team2_last5_avg_score,Team2_last5_avg_concede,h2h_team1_win_rate
2013-10-20 22:00:00,Arjantin,Peru,3:0,1,3,0,,,,0,,,,
2014-07-25 15:10:00,Peru,Kanada,3:1,1,3,1,,,,0,,,,
2014-07-25 16:00:00,Porto Riko,Arjantin,3:0,1,3,0,,,,0,,,,
2014-07-26 11:30:00,Bulgaristan,Kenya,3:2,1,3,2,,,,0,,,,
2014-07-26 11:40:00,Polonya,Kanada,3:1,1,3,1,,,,0,0.0,1.0,3.0,
2014-07-26 13:00:00,Küba,Arjantin,1:3,2,1,3,,,,1,0.0,0.0,3.0,
2014-07-26 14:10:00,Peru,Belçika,0:3,2,0,3,1.0,3.0,1.0,1,,,,
2014-07-27 10:00:00,Kenya,Cezayir,3:0,1,3,0,,,,0,,,,
2014-07-27 13:00:00,Arjantin,Hollanda,0:3,2,0,3,1.0,3.0,0.0,1,,,,
2014-07-27 14:10:00,Peru,Polonya,1:3,2,1,3,0.5,1.5,2.0,1,,,,
2014-07-27 16:00:00,Porto Riko,Küba,3:0,1,3,0,1.0,3.0,0.0,0,,,,
2014-08-01 10:40:00,Polonya,Küba,3:0,1,3,0,1.0,3.0,1.0,0,0.0,0.0,3.0,
2014-08-01 13:00:00,Hollanda,Arjantin,3:0,1,3,0,,,,0,0.5,1.5,2.0,1.0
2014-08-01 13:30:00,Brezilya,Çin,3:1,1,3,1,,,,0,,,,
2014-08-01 15:10:00,Peru,Porto Riko,0:3,2,0,3,0.3333333333333333,1.3333333333333333,2.3333333333333335,1,,,,
2014-08-01 16:15:00,Hırvatistan,Kenya,3:0,1,3,0,,,,0,0.0,2.0,3.0,
2014-08-02 11:40:00,Polonya,Porto Riko,1:3,2,1,3,1.0,3.0,0.5,1,1.0,3.0,0.0,
2014-08-02 12:00:00,Rusya,Japonya,3:1,1,3,1,,,,0,,,,
2014-08-02 13:00:00,Arjantin,Kanada,2:3,2,2,3,0.5,1.5,1.5,1,0.0,1.0,3.0,
2014-08-02 13:15:00,Bulgaristan,Kenya,3:1,1,3,1,1.0,3.0,2.0,0,0.0,1.0,3.0,1.0
2014-08-02 13:40:00,Çin,Dominik Cumhuriyeti,3:0,1,3,0,,,,0,,,,
2014-08-02 14:10:00,Peru,Küba,3:0,1,3,0,0.25,1.0,2.5,0,0.0,0.0,3.0,
2014-08-02 15:00:00,Türkiye,Amerika Birleşik Devletleri,3:2,1,3,2,,,,0,,,,
2014-08-02 16:00:00,Brezilya,İtalya,3:0,1,3,0,1.0,3.0,1.0,0,,,,
2014-08-03 11:40:00,Küba,Porto Riko,2:3,2,2,3,0.0,1.0,3.0,1,1.0,3.0,0.5,0.0
2014-08-03 13:15:00,Kenya,Avustralya,3:2,1,3,2,1.0,3.0,0.0,0,,,,
2014-08-03 14:00:00,Arjantin,Belçika,0:3,2,0,3,0.3333333333333333,1.6666666666666667,2.0,1,1.0,3.0,0.0,
2014-08-03 14:10:00,Peru,Polonya,2:3,2,2,3,0.4,1.4,2.0,1,1.0,3.0,1.0,0.0
2014-08-03 15:00:00,Türkiye,Rusya,3:2,1,3,2,1.0,3.0,2.0,0,,,,
2014-08-03 16:10:00,İtalya,Çin,3:2,1,3,2,,,,0,0.0,1.0,3.0,
2014-08-08 07:00:00,Rusya,Amerika Birleşik Devletleri,1:3,2,1,3,1.0,3.0,1.0,1,0.0,2.0,3.0,
2014-08-08 12:00:00,Belçika,Polonya,3:0,1,3,0,,,,0,1.0,3.0,1.5,
2014-08-08 14:30:00,Japonya,İtalya,2:3,2,2,3,,,,1,0.0,0.0,3.0,
2014-08-08 14:40:00,Kanada,Küba,0:3,2,0,3,,,,1,0.0,0.0,3.0,
2014-08-08 15:00:00,Türkiye,Dominik Cumhuriyeti,2:3,2,2,3,1.0,3.0,2.0,1,0.0,0.0,3.0,
2014-08-08 16:30:00,Çin,Tayland,3:1,1,3,1,1.0,3.0,0.0,0,,,,
2014-08-08 17:10:00,Arjantin,Peru,3:0,1,3,0,0.25,1.25,2.25,0,0.0,0.0,3.0,1.0
2014-08-09 06:00:00,Brezilya,Rusya,3:0,1,3,0,1.0,3.0,0.5,0,0.0,2.0,3.0,
2014-08-09 09:15:00,İtalya,Tayland,3:0,1,3,0,1.0,3.0,2.0,0,0.0,1.0,3.0,
2014-08-09 11:00:00,Porto Riko,Polonya,3:1,1,3,1,1.0,3.0,0.0,0,0.6666666666666666,2.0,2.0,1.0
2014-08-09 11:45:00,Çin,Japonya,3:0,1,3,0,1.0,3.0,0.5,0,0.0,1.0,3.0,
2014-08-09 14:10:00,Küba,Peru,2:3,2,2,3,0.0,1.5,3.0,1,0.0,0.0,3.0,0.0
2014-08-09 15:00:00,Türkiye,Sırbistan,3:2,1,3,2,0.6666666666666666,2.6666666666666665,2.3333333333333335,0,,,,
2014-08-09 16:40:00,Arjantin,Kanada,3:1,1,3,1,0.4,1.6,1.8,0,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0
2014-08-10 08:30:00,Rusya,Güney Kore,1:3,2,1,3,0.5,2.0,2.0,1,,,,
2014-08-10 11:45:00,Çin,İtalya,3:1,1,3,1,1.0,3.0,0.3333333333333333,0,0.5,1.5,2.5,0.0
2014-08-10 14:00:00,Polonya,Hollanda,0:3,2,0,3,0.6666666666666666,2.3333333333333335,1.3333333333333333,1,1.0,3.0,0.0,
2014-08-10 14:10:00,Peru,Kanada,0:3,2,0,3,0.2,1.2,2.4,1,0.25,1.5,2.75,1.0
2014-08-10 15:00:00,Türkiye,Almanya,3:1,1,3,1,0.75,2.75,2.25,0,,,,
2014-08-10 16:40:00,Arjantin,Küba,3:1,1,3,1,0.4,1.6,2.0,0,0.25,0.75,2.25,1.0
2014-08-15 12:40:00,Türkiye,Almanya,1:3,2,1,3,0.8,2.8,2.0,1,0.0,1.0,3.0,1.0
2014-08-15 13:30:00,Polonya,Belçika,0:3,2,0,3,0.5,1.75,1.75,1,1.0,3.0,0.0,0.0
2014-08-15 15:10:00,Rusya,İtalya,3:1,1,3,1,0.3333333333333333,1.6666666666666667,2.3333333333333335,0,0.3333333333333333,1.3333333333333333,2.6666666666666665,
2014-08-15 16:30:00,Çin,Güney Kore,3:1,1,3,1,1.0,3.0,0.5,0,1.0,3.0,1.0,
2014-08-16 12:40:00,İtalya,Almanya,3:2,1,3,2,1.0,3.0,1.0,0,0.5,2.0,2.0,
2014-08-16 13:00:00,Çin,Sırbistan,2:3,2,2,3,1.0,3.0,0.6,1,0.0,2.0,3.0,
2014-08-16 13:30:00,Polonya,Porto Riko,0:3,2,0,3,0.4,1.4,2.0,1,1.0,3.0,1.0,0.0
2014-08-16 15:10:00,Rusya,Türkiye,3:1,1,3,1,0.5,2.0,2.0,0,,,,0.0
2014-08-17 11:30:00,Çin,Japonya,1:3,2,1,3,0.8,2.8,1.2,1,0.0,0.5,3.0,1.0
2014-08-17 12:40:00,İtalya,Türkiye,1:3,2,1,3,1.0,3.0,1.3333333333333333,1,0.0,1.0,3.0,
2014-08-17 15:10:00,Almanya,Rusya,0:3,2,0,3,,,,1,0.0,1.0,3.0,
2014-08-20 08:20:00,Çin,Belçika,3:1,1,3,1,0.6,2.4,1.6,0,1.0,3.0,0.0,
2014-08-20 11:00:00,Türkiye,Brezilya,3:2,1,3,2,0.6,2.4,2.2,0,,,,
2014-08-20 15:05:00,Japonya,Rusya,3:1,1,3,1,0.0,2.0,3.0,0,0.3333333333333333,1.6666666666666667,2.0,0.0
2014-08-21 08:20:00,Rusya,Belçika,3:0,1,3,0,0.6,2.2,1.8,0,0.75,2.5,0.75,
2014-08-21 11:00:00,Brezilya,Çin,3:0,1,3,0,1.0,3.0,0.3333333333333333,0,0.0,1.5,3.0,1.0
2014-08-21 15:05:00,Japonya,Türkiye,3:0,1,3,0,0.5,2.5,2.0,0,0.5,2.0,2.0,
2014-08-22 08:20:00,Türkiye,Rusya,2:3,2,2,3,0.6,2.4,2.2,1,0.25,1.5,2.25,0.5
2014-08-22 15:05:00,Çin,Japonya,0:3,2,0,3,0.6,2.4,1.8,1,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.5
2014-08-23 08:20:00,Türkiye,Çin,2:3,2,2,3,0.6,2.4,2.2,1,0.0,1.0,3.0,
