"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","rank_newbie","rank_newbie href"
",  Group B","2015-06-15 15:30","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/croatia-netherlands-c374","10 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group B","2015-06-17 23:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/russia-croatia-c395","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group B","2015-06-21 17:30","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/croatia-germany-c432","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group J","2015-07-03 16:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/italy-japan-c592","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-002.pdf","",""
",  Group J","2015-07-04 16:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c63119","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-004.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group J","2015-07-05 16:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/croatia-netherlands-c63121","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-006.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group M","2015-07-10 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/bulgaria-croatia-c63136","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-020.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group M","2015-07-11 10:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/croatia-puerto-rico-c63137","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-021.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group M","2015-07-12 10:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/croatia-czech-republic-c63139","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-023.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group C","2015-09-26 19:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/croatia-belarus-c898","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group C","2015-09-27 19:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/bulgaria-croatia-c911","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","","","",""
",  Group C","2015-09-28 21:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Topsporthal Hall, Rotterdam","https://women.volleybox.net/tr/topsporthal-hall-a303/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/russia-croatia-c913","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","1","","",""
",  play-offs","2015-09-30 18:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Ahoy, Rotterdam","https://women.volleybox.net/tr/ahoy-a302/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/italy-croatia-c926","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16","2","","",""
