"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","rank_user","rank_user href"
",  Group A","2016-01-06 16:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/germany-croatia-c65605","4 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","",""
",  Group A","2016-01-07 16:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/netherlands-croatia-c65607","4 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","",""
",  Group B3","2016-06-03 10:40","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Red Energy Arena, Bendigo","https://women.volleybox.net/tr/red-energy-arena-a667/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/croatia-cuba-c3305","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group B3","2016-06-04 09:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Red Energy Arena, Bendigo","https://women.volleybox.net/tr/red-energy-arena-a667/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/colombia-croatia-c3307","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group B3","2016-06-05 09:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Red Energy Arena, Bendigo","https://women.volleybox.net/tr/red-energy-arena-a667/matches","Avustralya","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/australia-croatia-c3310","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group D3","2016-06-11 00:35","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/croatia-cuba-c3341","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group D3","2016-06-11 23:35","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Cezayir","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/algeria-croatia-c3343","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group D3","2016-06-13 03:05","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/peru-croatia-c3346","9 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Semi-Final (Group 3)","2016-06-18 09:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Baluan Sport & Culture Palace, Almaty","https://women.volleybox.net/tr/baluan-sport-culture-palace-a294/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/peru-croatia-c3381","8 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Final (Group 3)","2016-06-19 12:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Baluan Sport & Culture Palace, Almaty","https://women.volleybox.net/tr/baluan-sport-culture-palace-a294/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/croatia-kazakhstan-c3384","8 yıl önce önce  tarafından eklendi","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
