"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","rank_admin","rank_admin href"
",  Group B2","2017-07-08 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/argentina-croatia-c6144","",""
",  Group B2","2017-07-09 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/canada-croatia-c6158","",""
",  Group D2","2017-07-14 11:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Baluan Sport & Culture Palace, Almaty","https://women.volleybox.net/tr/baluan-sport-culture-palace-a294/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/colombia-croatia-c6195","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group D2","2017-07-15 11:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Baluan Sport & Culture Palace, Almaty","https://women.volleybox.net/tr/baluan-sport-culture-palace-a294/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/croatia-germany-c6197","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group D2","2017-07-16 14:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Baluan Sport & Culture Palace, Almaty","https://women.volleybox.net/tr/baluan-sport-culture-palace-a294/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/kazakhstan-croatia-c6200","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-21 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/croatia-argentina-c6250","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-22 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/croatia-bulgaria-c6252","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-23 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/croatia-puerto-rico-c6254","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group B","2017-09-22 19:00","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","Tbilisi Sports Palace, Tbilisi","https://women.volleybox.net/tr/tbilisi-sports-palace-a830/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/belarus-croatia-c6689","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group B","2017-09-23 16:00","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","Tbilisi Sports Palace, Tbilisi","https://women.volleybox.net/tr/tbilisi-sports-palace-a830/matches","Georgia","https://women.volleybox.net/tr/georgia-t850/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/georgia-croatia-c6690","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
