"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href"
",  2nd round - Group A","2017-05-31 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Georgia","https://women.volleybox.net/tr/georgia-t850/matches","https://volleybox.net/media/upload/teams/nt_flag_Georgia.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/georgia-croatia-c181422","1 yıl önce önce  tarafından eklendi","J…e",""
",  2nd round - Group A","2017-06-01 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","0 : 3","https://women.volleybox.net/tr/greece-t862/matches","https://volleybox.net/media/upload/teams/nt_flag_Greece.png","Yunanistan","https://women.volleybox.net/tr/croatia-greece-c181425","1 yıl önce önce  tarafından eklendi","J…e",""
",  2nd round - Group A","2017-06-02 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/hungary-croatia-c181428","1 yıl önce önce  tarafından eklendi","J…e",""
",  2nd round - Group A","2017-06-04 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Gradski vrt Hall, Osijek","https://women.volleybox.net/tr/gradski-vrt-hall-a6425/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/croatia-russia-c181434","1 yıl önce önce  tarafından eklendi","J…e",""
",  Group B","2018-05-19 18:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Arena Gripe, Split","https://women.volleybox.net/tr/arena-gripe-a1387/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/finland-t835/matches","https://volleybox.net/media/img/light-px.png","Finlandiya","https://women.volleybox.net/tr/croatia-finland-c15641","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B","2018-05-23 19:30","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Ludovika Aréna, Budapest","https://women.volleybox.net/tr/ludovika-arena-a1097/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/hungary-croatia-c15643","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B","2018-05-26 21:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Arena Gripe, Split","https://women.volleybox.net/tr/arena-gripe-a1387/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/croatia-france-c15645","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B","2018-05-30 17:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Kupittaan palloiluhalli, Turku","https://women.volleybox.net/tr/kupittaan-palloiluhalli-a1020/matches","Finlandiya","https://women.volleybox.net/tr/finland-t835/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/finland-croatia-c15647","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B","2018-06-02 18:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Arena Gripe, Split","https://women.volleybox.net/tr/arena-gripe-a1387/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c15649","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
",  Group B","2018-06-06 21:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Parc des Sports Nations, Vandœuvre","https://women.volleybox.net/tr/parc-des-sports-nations-a888/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/france-croatia-c15651","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard"
