"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_editor","rank_editor href","show_movies","show_movies 2","rank_user","show_movies href"
",  Group B","2019-05-29 20:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Gradska Sportska Dvorana, Bijeljina","https://women.volleybox.net/tr/gradska-sportska-dvorana-a1215/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 1","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/upload/teams/nt_flag_Hungary.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c15843","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","","",""
",  Group B","2019-06-01 20:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Gradska Sportska Dvorana, Bijeljina","https://women.volleybox.net/tr/gradska-sportska-dvorana-a1215/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 0","https://women.volleybox.net/tr/austria-t679/matches","https://volleybox.net/media/upload/teams/nt_flag_Austria.png","Avusturya","https://women.volleybox.net/tr/croatia-austria-c15844","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","","",""
",  Group B","2019-06-08 16:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Kaposvár Aréna, Kaposvár","https://women.volleybox.net/tr/kaposvar-arena-a1379/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/hungary-croatia-c15846","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","1","1","",""
",  Group B","2019-06-12 21:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Salle Régionale des Sports Maréchal, Harnes","https://women.volleybox.net/tr/salle-regionale-des-sports-marechal-a1299/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/france-croatia-c14425","6 yıl önce önce  tarafından eklendi","","","","","S…k",""
",  Group B","2019-06-15 20:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Gradska Sportska Dvorana, Bijeljina","https://women.volleybox.net/tr/gradska-sportska-dvorana-a1215/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","Fransa","https://women.volleybox.net/tr/croatia-france-c15848","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit","","","",""
",  semi-final","2019-06-21 20:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/croatia-spain-c16465","5 yıl önce önce  tarafından eklendi","","","","","S…k",""
",  Group A","2019-06-27 04:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/peru-croatia-c16551","5 yıl önce önce  tarafından eklendi","","","1","","S…k",""
",  Group A","2019-06-28 04:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/croatia-czech-republic-c16552","5 yıl önce önce  tarafından eklendi","","","1","","S…k",""
",  semi-final","2019-06-30 04:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/canada-croatia-c16583","5 yıl önce önce  tarafından eklendi","","","","","S…k",""
",  3rd place match","2019-06-30 21:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/argentina-croatia-c16584","5 yıl önce önce  tarafından eklendi","","","","","S…k",""
