"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies","rank_editor","rank_editor href","show_movies 2","show_movies href","rank_user href"
",  Group B","2020-01-09 15:00","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/belgium-croatia-c25683","5 yıl önce önce  tarafından eklendi","S…k","","","","","","",""
",  Group B","2020-01-10 15:30","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/germany-croatia-c25686","5 yıl önce önce  tarafından eklendi","S…k","","","","","","",""
",  Group C","2021-05-28 18:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c71798","4 yıl önce önce  tarafından eklendi","","22","1","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","",""
",  Group C","2021-05-29 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c71794","4 yıl önce önce  tarafından eklendi","","27","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40327",""
",  Group C","2021-05-30 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/belarus-croatia-c71796","4 yıl önce önce  tarafından eklendi","","28","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","",""
",  Group C","2021-06-02 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/belarus-croatia-c71812","4 yıl önce önce  tarafından eklendi","","27","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","",""
",  Group C","2021-06-03 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c71806","4 yıl önce önce  tarafından eklendi","","27","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40437",""
",  Group C","2021-06-04 18:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/croatia-hungary-c71802","4 yıl önce önce  tarafından eklendi","","28","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","",""
",  semi-final","2021-06-19 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","İspanya","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/spain-croatia-c73486","4 yıl önce önce  tarafından eklendi","","29","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","",""
",  final","2021-06-20 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/croatia-bulgaria-c74935","3 yıl önce önce  tarafından eklendi","","19","1","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=45557",""
