"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","connected_by","show_movies 2","show_movies 3","rank_user"
",  Group B","2022-05-28 18:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 0","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","Slovakya","https://women.volleybox.net/tr/croatia-slovakia-c114464","32","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=60765","3 yıl önce önce  tarafından eklendi","","",""
",  Group B","2022-06-08 17:30","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Arena Poprad, Poprad","https://women.volleybox.net/tr/arena-poprad-a808/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/slovakia-croatia-c114473","53","","","3 yıl önce önce  tarafından eklendi","","",""
",  Group B","2022-06-11 20:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Sportovní Hala Euronics, Zlin","https://women.volleybox.net/tr/sportovni-hala-euronics-a596/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c114474","52","","","3 yıl önce önce  tarafından eklendi","","",""
",  semi-final","2022-06-16 21:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Palais des sports d'Orléans, Orléans","https://women.volleybox.net/tr/palais-des-sports-dorleans-a3471/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/france-croatia-c116777","37","","","3 yıl önce önce  tarafından eklendi","1","2","S…k"
",  Group A","2022-06-26 11:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/france-croatia-c117848","","","","2 yıl önce önce  tarafından eklendi","","","B…2"
",  Group A","2022-06-28 11:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/croatia-serbia-c117858","","","","2 yıl önce önce  tarafından eklendi","","","B…2"
",  quarterfinal","2022-06-30 15:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/croatia-italy-c118390","","","","2 yıl önce önce  tarafından eklendi","","","B…2"
",  5-8 places","2022-07-01 14:30","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/greece-t862/matches","https://volleybox.net/media/img/light-px.png","Yunanistan","https://women.volleybox.net/tr/croatia-greece-c118721","","","","2 yıl önce önce  tarafından eklendi","","","B…2"
",  7th place match","2022-07-02 11:30","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Tunus","https://women.volleybox.net/tr/tunisia-t1228/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/tunisia-croatia-c118890","","","","2 yıl önce önce  tarafından eklendi","","","B…2"
",  quarterfinal","2022-07-28 21:30","Challenger Cup 2022","https://women.volleybox.net/tr/women-challenger-cup-2022-o23203/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/croatia-kazakhstan-c119190","18","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256523251","2 yıl önce önce  tarafından eklendi","1","","B…2"
