"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_user","show_predictions","show_movies 2","show_movies href","show_movies 3","show_movies 4","rank_moderator","rank_moderator href","rank_user href"
",  Group A","2022-08-24 19:30","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Enerbox Sport Palace, Hadera","https://women.volleybox.net/tr/enerbox-sport-palace-a3330/matches","İsrail","https://women.volleybox.net/tr/israel-t919/matches","https://volleybox.net/media/upload/teams/nt_flag_Israel.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/faroe-islands-romania-c126262","1","2 yıl önce önce  tarafından eklendi","B…2","","","","","","","",""
",  Group A","2022-08-28 20:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Nastavno-Športska Dvorana Gradski Vrt, Osijek","https://women.volleybox.net/tr/nastavno-sportska-dvorana-gradski-vrt-a190/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 1","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","Romanya","https://women.volleybox.net/tr/croatia-romania-c126264","1","2 yıl önce önce  tarafından eklendi","B…2","","","","","","","",""
",  Group A","2022-09-03 18:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Polyvalent Hall, Piatra Neamt","https://women.volleybox.net/tr/polyvalent-hall-a2953/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/romania-croatia-c126265","","2 yıl önce önce  tarafından eklendi","B…2","","","","","","","",""
",  Group A","2022-09-07 20:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Nastavno-Športska Dvorana Gradski Vrt, Osijek","https://women.volleybox.net/tr/nastavno-sportska-dvorana-gradski-vrt-a190/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/israel-t919/matches","https://volleybox.net/media/img/light-px.png","İsrail","https://women.volleybox.net/tr/croatia-israel-c126268","","2 yıl önce önce  tarafından eklendi","B…2","","","","","","","",""
",  Group A","2022-09-11 18:00","Avrupa Şampiyonası Elemeleri 2023","https://women.volleybox.net/tr/women-european-championship-qualification-2023-o24972/matches","Stórhøll á Hálsi, Tórshavn","https://women.volleybox.net/tr/storhll-a-halsi-a1354/matches","Faroe Adaları","https://women.volleybox.net/tr/faroe-islands-t829/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/faroe-islands-croatia-c126269","","2 yıl önce önce  tarafından eklendi","B…2","","","","","","","",""
",  Week One","2023-05-31 09:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/croatia-bulgaria-c170897","1","2 yıl önce önce  tarafından eklendi","","135","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566144","1","3","avid","https://women.volleybox.net/tr/user/avid",""
",  Week One","2023-06-01 06:00","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/croatia-germany-c170901","2","2 yıl önce önce  tarafından eklendi","","128","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566309","3","","avid","https://women.volleybox.net/tr/user/avid",""
",  Week One","2023-06-02 13:40","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/croatia-japan-c170909","1","2 yıl önce önce  tarafından eklendi","","132","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566553","2","3","avid","https://women.volleybox.net/tr/user/avid",""
",  Week One","2023-06-04 06:40","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Nagoya City Gymnasium, Nagoya City Aichi","https://women.volleybox.net/tr/nagoya-city-gymnasium-a269/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/croatia-brazil-c170919","1","2 yıl önce önce  tarafından eklendi","","122","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256566803","1","2","avid","https://women.volleybox.net/tr/user/avid",""
",  Week Two","2023-06-13 23:30","Voleybol Milletler Ligi 2023","https://women.volleybox.net/tr/women-volleyball-nations-league-2023-o25385/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/croatia-usa-c170927","1","2 yıl önce önce  tarafından eklendi","","149","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256570184","1","5","avid","https://women.volleybox.net/tr/user/avid",""
