"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies 2"
",  Group A","2014-08-02 15:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/turkey-usa-c31510","1"
",  Group A","2014-08-03 15:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c31512","1"
",  Group E","2014-08-08 15:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","2 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/turkey-dominican-republic-c31532","1"
",  Group E","2014-08-09 15:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/turkey-serbia-c31534",""
",  Group E","2014-08-10 15:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/turkey-germany-c31536",""
",  Group H","2014-08-15 12:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/turkey-germany-c31549",""
",  Group H","2014-08-16 15:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/russia-turkey-c31552",""
",  Group H","2014-08-17 12:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/italy-turkey-c31553","1"
",  Final Round","2014-08-20 11:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/turkey-brazil-c31562","1"
",  Final Round","2014-08-21 15:05","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/japan-turkey-c31566","1"
",  Final Round","2014-08-22 08:20","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c31567",""
",  Final Round","2014-08-23 08:20","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/turkey-china-c31570",""
",  Final Round","2014-08-24 11:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Ariake Coliseum, Koto Ward Tokyo","https://women.volleybox.net/tr/ariake-coliseum-a3358/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/belgium-turkey-c31574",""
",  Group B","2014-09-23 13:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaTrieste, Triest","https://women.volleybox.net/tr/palatrieste-a250/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/serbia-turkey-c32037",""
",  Group B","2014-09-24 06:30","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaTrieste, Triest","https://women.volleybox.net/tr/palatrieste-a250/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/turkey-canada-c32039",""
",  Group B","2014-09-25 16:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaTrieste, Triest","https://women.volleybox.net/tr/palatrieste-a250/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/turkey-bulgaria-c32044",""
",  Group B","2014-09-27 16:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaTrieste, Triest","https://women.volleybox.net/tr/palatrieste-a250/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/brazil-turkey-c32047",""
",  Group B","2014-09-28 06:30","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaTrieste, Triest","https://women.volleybox.net/tr/palatrieste-a250/matches","Kamerun","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/cameroon-turkey-c32048",""
",  Group F","2014-10-01 13:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/turkey-usa-c32098",""
",  Group F","2014-10-02 13:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c32102",""
",  Group F","2014-10-04 13:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/turkey-netherlands-c32106",""
",  Group F","2014-10-05 13:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","Kazakistan","https://women.volleybox.net/tr/turkey-kazakhstan-c32110",""
