"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_editor","rank_editor href","show_movies","show_predictions","show_movies 2","show_movies href","rank_user","rank_user href","rank_newbie","rank_newbie href"
",","2025-05-09 18:00","dostluk maçı 2024/25","https://women.volleybox.net/tr/women-friendly-match-2024-25-o36310/matches","Allianz Cloud, Milano","https://women.volleybox.net/tr/allianz-cloud-a1462/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/italy-germany-c297943","1 ay önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","","","","","","","",""
",  1st round","2025-05-23 21:00","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/italy-netherlands-c299060","3 hafta önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","","","","","","","",""
",  2nd round","2025-05-24 21:00","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","Türkiye","https://women.volleybox.net/tr/italy-turkey-c299062","3 hafta önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","4","","","","","","",""
",  3rd round","2025-05-25 18:00","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/italy-germany-c299064","3 hafta önce önce  tarafından eklendi","Gymnicus","https://women.volleybox.net/tr/user/Gymnicus","1","","","","","","",""
",  Week One","2025-06-04 20:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/usa-italy-c281471","4 ay önce önce  tarafından eklendi","","","1","107","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256750306.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250605%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250605T053759Z&X-Amz-SignedHeaders=host&X-Amz-Signature=49dab182da6563ff8edef6fecb69fe11a18a9f2b70b6351907f9cadfe5341acb","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week One","2025-06-05 23:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/germany-italy-c281474","4 ay önce önce  tarafından eklendi","","","1","108","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751196.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T021102Z&X-Amz-SignedHeaders=host&X-Amz-Signature=da903d06c1f91cb50b1fd3fe1558e5524bb5f3607df9b6ffbf230becc9bc9d08","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week One","2025-06-06 23:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/south-korea-italy-c281476","4 ay önce önce  tarafından eklendi","","","","103","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256752216.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T020904Z&X-Amz-SignedHeaders=host&X-Amz-Signature=f50b4a14129d2aabeda3bcdeac63e148948348d3ded76024fa660531e7364a1e","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week One","2025-06-08 16:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/brazil-italy-c281480","4 ay önce önce  tarafından eklendi","","","3","106","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753667.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T215200Z&X-Amz-SignedHeaders=host&X-Amz-Signature=0dfc9ca8ba1e6228bbd7b7ba99f0725f42dd6696f8e3bcafeda932a9f6f2131e","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week Two","2025-06-18 08:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/bulgaria-italy-c300072","1 gün önce önce  tarafından eklendi","","","","49","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Two","2025-06-19 12:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/thailand-italy-c300082","1 gün önce önce  tarafından eklendi","","","","34","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Two","2025-06-20 15:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/japan-italy-c300088","1 gün önce önce  tarafından eklendi","","","","25","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Two","2025-06-22 15:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/china-italy-c300118","20 saat önce önce  tarafından eklendi","","","","15","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Three","2025-07-12 20:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c300060","2 gün önce önce  tarafından eklendi","","","","20","","","Norwen","https://women.volleybox.net/tr/user/Norwen","",""
",  Group B","2025-08-22 16:30","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Saphan Hin Sports Center, Phuket","https://women.volleybox.net/tr/saphan-hin-sports-center-a2151/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","0 : 0","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","Slovakya","https://women.volleybox.net/tr/italy-slovakia-c289060","3 ay önce önce  tarafından eklendi","","","","11","","","","","",""
",  Group B","2025-08-24 13:00","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Saphan Hin Sports Center, Phuket","https://women.volleybox.net/tr/saphan-hin-sports-center-a2151/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","0 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/italy-cuba-c289077","3 ay önce önce  tarafından eklendi","","","","9","","","","","",""
