"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","show_movies 4","rank_user href"
",  Group C","2023-09-17 21:45","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 0","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovenia.png","Slovenya","https://women.volleybox.net/tr/italy-slovenia-c176719","84","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-qualifying-tournament/schedule/16705/","1","3","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-19 15:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/italy-thailand-c176721","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624369","1","4","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-20 12:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/italy-colombia-c176724","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624658","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-22 21:45","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/italy-usa-c176731","85","1","https://women.volleybox.net/tr/frame/match_report/0/48432","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-23 21:45","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c176735","84","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626346","1","3","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-24 21:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/poland-italy-c176739","92","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626554","1","1","2 yıl önce önce  tarafından eklendi","J…e","3",""
",","2024-05-08 20:00","dostluk maçı 2023/24","https://women.volleybox.net/tr/women-friendly-match-2023-24-o31265/matches","Pala Igor Gorgonzola, Novara","https://women.volleybox.net/tr/pala-igor-gorgonzola-a528/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/sweden-t1198/matches","https://volleybox.net/media/img/light-px.png","İsveç","https://women.volleybox.net/tr/italy-sweden-c231736","","","","","","1 yıl önce önce  tarafından eklendi","","",""
",  Week One","2024-05-14 20:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/italy-poland-c215130","127","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659144","1","1","1 yıl önce önce  tarafından eklendi","I…Y","7",""
",  Week One","2024-05-16 14:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c215137","133","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659696","2","1","1 yıl önce önce  tarafından eklendi","I…Y","3",""
",  Week One","2024-05-17 20:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/italy-bulgaria-c215145","134","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256660780","2","1","1 yıl önce önce  tarafından eklendi","I…Y","1",""
