"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies","show_movies href","show_movies 2","rank_editor","rank_editor href"
",  Group E","2019-08-03 22:15","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/belgium-italy-c176680","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group E","2019-08-04 22:15","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/netherlands-italy-c176682","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  round robin - 1st round","2021-05-25 20:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","2 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/italy-poland-c69061","4 yıl önce önce  tarafından eklendi","","64","1","https://cdn9.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-7-Italia-Polonia-2-3.jpg","3","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 2nd round","2021-05-26 20:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c69131","4 yıl önce önce  tarafından eklendi","","66","1","https://cdn6.volleyball.it/wp-content/uploads/2021/05/tab_tur_ita.jpg","3","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 3rd round","2021-05-27 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/serbia-italy-c69088","4 yıl önce önce  tarafından eklendi","","65","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-24-Italia-Serbia-1-3.jpg","2","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
",  round robin - 4th round","2021-05-31 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/russia-italy-c70044","4 yıl önce önce  tarafından eklendi","S…k","65","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-32-Russia-Italia-3-0.jpg","2","",""
",  round robin - 5th round","2021-06-01 20:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/italy-japan-c70051","4 yıl önce önce  tarafından eklendi","S…k","58","1","https://cdn7.volleyball.it/wp-content/uploads/2021/06/Ita-Giappone-totale.jpg","1","",""
",  round robin - 6th round","2021-06-02 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/brazil-italy-c70060","4 yıl önce önce  tarafından eklendi","S…k","54","1","https://cdn9.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-48-BRASILE-ITALIA-3-1.jpg","","",""
",  round robin - 7th round","2021-06-06 20:30","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/italy-south-korea-c70068","4 yıl önce önce  tarafından eklendi","S…k","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312169","1","",""
",  round robin - 8th round","2021-06-07 20:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/germany-italy-c70075","4 yıl önce önce  tarafından eklendi","S…k","57","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256312264","","",""
