"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_admin","rank_admin href","show_movies 2"
",  Group B1","2017-07-08 16:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Kunshan Sports Centre Stadium, Kunshan","https://women.volleybox.net/tr/kunshan-sports-centre-stadium-a768/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/italy-usa-c6126","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-009.pdf","7 yıl önce önce  tarafından eklendi","","",""
",  Group B1","2017-07-09 14:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Kunshan Sports Centre Stadium, Kunshan","https://women.volleybox.net/tr/kunshan-sports-centre-stadium-a768/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/russia-italy-c6128","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-011.pdf","7 yıl önce önce  tarafından eklendi","","",""
",  Group E1","2017-07-14 15:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/china-italy-c6208","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-026.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
",  Group E1","2017-07-15 09:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/usa-italy-c6209","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-027.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
",  Group E1","2017-07-16 08:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Macau Forum, Macau","https://women.volleybox.net/tr/macau-forum-a107/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/italy-turkey-c6211","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-029.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
",  Group H1","2017-07-21 11:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/italy-turkey-c6237","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-043.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
",  Group H1","2017-07-22 11:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/italy-dominican-republic-c6239","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-045.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
",  Group H1","2017-07-23 14:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/thailand-italy-c6242","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-048.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
",  Group K1","2017-08-03 10:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/usa-italy-c6277","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-057.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","2"
",  Group K1","2017-08-04 10:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/serbia-italy-c6278","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-059.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","2"
",  Semi-Final (Group 1)","2017-08-05 15:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/china-italy-c6378","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-061.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","1"
",  Final (Group 1)","2017-08-06 15:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Nanjing Olympic Sports Centre Gimnasium, Nanjing","https://women.volleybox.net/tr/nanjing-olympic-sports-centre-gimnasium-a777/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/italy-brazil-c6411","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-064.pdf","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox","2"
",  Group B","2017-09-22 16:00","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","Tbilisi Sports Palace, Tbilisi","https://women.volleybox.net/tr/tbilisi-sports-palace-a830/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/georgia-t850/matches","https://volleybox.net/media/img/light-px.png","Georgia","https://women.volleybox.net/tr/italy-georgia-c6688","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
",  Group B","2017-09-23 19:00","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","Tbilisi Sports Palace, Tbilisi","https://women.volleybox.net/tr/tbilisi-sports-palace-a830/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/italy-belarus-c6691","","","7 yıl önce önce  tarafından eklendi","Volleybox","https://women.volleybox.net/tr/user/Volleybox",""
