"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_movies","rank_user","rank_user href","rank_newbie","rank_newbie href"
",  Group B","2016-01-06 14:00","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/belgium-italy-c65611","4 yıl önce önce  tarafından eklendi","","","","",""
",  Group B","2016-01-07 19:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 2","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/italy-poland-c65613","4 yıl önce önce  tarafından eklendi","","","","",""
",  semi-final","2016-01-08 16:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/netherlands-italy-c65614","4 yıl önce önce  tarafından eklendi","","","","",""
",  3rd place match","2016-01-09 16:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c65616","4 yıl önce önce  tarafından eklendi","2","","","",""
",  Round Robin","2016-05-14 04:10","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/south-korea-italy-c176619","2 yıl önce önce  tarafından eklendi","","J…e","","",""
",  Round Robin","2016-05-15 04:10","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/italy-thailand-c176623","2 yıl önce önce  tarafından eklendi","","J…e","","",""
",  Round Robin","2016-05-17 06:55","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/dominican-republic-italy-c176628","2 yıl önce önce  tarafından eklendi","","J…e","","",""
",  Round Robin","2016-05-18 04:10","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/peru-italy-c176631","2 yıl önce önce  tarafından eklendi","","J…e","","",""
",  Round Robin","2016-05-20 09:40","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/italy-netherlands-c176641","2 yıl önce önce  tarafından eklendi","1","J…e","","",""
",  Round Robin","2016-05-21 13:20","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/japan-italy-c176646","2 yıl önce önce  tarafından eklendi","","J…e","","",""
