"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_newbie","rank_newbie href"
",  Group C","2014-08-02 16:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","PalaSerradimigni, Sassari","https://women.volleybox.net/tr/palaserradimigni-a245/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/brazil-italy-c31522","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group C","2014-08-03 16:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","PalaSerradimigni, Sassari","https://women.volleybox.net/tr/palaserradimigni-a245/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 2","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","Çin","https://women.volleybox.net/tr/italy-china-c31524","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group F","2014-08-08 14:30","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/japan-italy-c31537","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group F","2014-08-09 09:15","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/italy-thailand-c31539","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group F","2014-08-10 11:45","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Hong Kong Coliseum, Kowloon","https://women.volleybox.net/tr/hong-kong-coliseum-a105/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/china-italy-c31542","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2014-08-15 15:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/russia-italy-c31550","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2014-08-16 12:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c31551","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group H","2014-08-17 12:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/italy-turkey-c31553","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2014-09-23 16:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaLottomatica, Rome","https://women.volleybox.net/tr/palalottomatica-a240/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/tunisia-t1228/matches","https://volleybox.net/media/img/light-px.png","Tunus","https://women.volleybox.net/tr/italy-tunisia-c32023","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2014-09-24 16:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaLottomatica, Rome","https://women.volleybox.net/tr/palalottomatica-a240/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/croatia-italy-c32026","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
