"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_user","show_predictions","rank_user href","show_movies 3","show_movies href"
",  Group B","2019-05-15 10:45","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","Türkiye","https://women.volleybox.net/tr/italy-turkey-c15744","1","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group B","2019-05-16 22:15","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 1","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/turkey-thailand-c15746","1","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  5th place match","2019-05-18 14:30","Montreux Volley Masters 2019","https://women.volleybox.net/tr/women-montreux-volley-masters-2019-o8348/matches","Pierrier Sports Hall, Montreux","https://women.volleybox.net/tr/pierrier-sports-hall-a96/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","Türkiye","https://women.volleybox.net/tr/china-turkey-c15883","1","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group D","2019-05-21 13:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","Türkiye","https://women.volleybox.net/tr/south-korea-turkey-c15788","1","6 yıl önce önce  tarafından eklendi","Anderson Antunes","22","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group D","2019-05-22 21:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/netherlands-turkey-c15799","1","6 yıl önce önce  tarafından eklendi","Anderson Antunes","21","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group D","2019-05-23 21:00","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Aleksandar Nikolić Hala, Belgrade","https://women.volleybox.net/tr/aleksandar-nikolic-hala-a368/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/turkey-serbia-c15807","1","6 yıl önce önce  tarafından eklendi","Anderson Antunes","23","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group F","2019-05-28 17:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/turkey-japan-c15896","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","18","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group F","2019-05-29 12:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c15904","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","20","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group F","2019-05-30 12:30","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c15912","","6 yıl önce önce  tarafından eklendi","Anderson Antunes","19","https://women.volleybox.net/tr/user/Anderson-Antunes","",""
",  Group K","2019-06-04 11:05","Voleybol Milletler Ligi 2019","https://women.volleybox.net/tr/women-volleyball-nations-league-2019-o8361/matches","Indoor Stadium Huamark, Bangkok","https://women.volleybox.net/tr/indoor-stadium-huamark-a408/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/turkey-dominican-republic-c15983","","6 yıl önce önce  tarafından eklendi","S…k","20","","",""
