"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_moderator","rank_moderator href","show_movies","rank_user","rank_user href"
",  Group A","2016-01-05 19:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","Türkiye","https://women.volleybox.net/tr/germany-turkey-c65604","4 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","","",""
",  Group A","2016-01-06 19:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/turkey-netherlands-c65606","4 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","1","",""
",  semi-final","2016-01-08 19:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","Türkiye","https://women.volleybox.net/tr/russia-turkey-c65615","4 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","","",""
",  3rd place match","2016-01-09 16:30","Avrupa Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-european-olympic-qualification-2016-o9381/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","2 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c65616","4 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","2","",""
",  Group C1","2016-06-10 17:40","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/turkey-belgium-c3316","9 yıl önce önce  tarafından eklendi","","","1","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group C1","2016-06-11 17:40","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/turkey-netherlands-c3314","9 yıl önce önce  tarafından eklendi","","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group C1","2016-06-12 20:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/russia-turkey-c3312","9 yıl önce önce  tarafından eklendi","","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group E1","2016-06-18 03:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Walter Pyramid, Long Beach","https://women.volleybox.net/tr/walter-pyramid-a435/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/turkey-japan-c3347","9 yıl önce önce  tarafından eklendi","","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group E1","2016-06-19 03:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Walter Pyramid, Long Beach","https://women.volleybox.net/tr/walter-pyramid-a435/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/turkey-germany-c3349","9 yıl önce önce  tarafından eklendi","","","1","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group E1","2016-06-20 03:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Walter Pyramid, Long Beach","https://women.volleybox.net/tr/walter-pyramid-a435/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c3352","9 yıl önce önce  tarafından eklendi","","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
