"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies 2","show_predictions","show_movies href","rank_editor","rank_editor href"
",  Group C","2019-08-04 04:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/upload/teams/nt_flag_Kazakhstan.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/kazakhstan-argentina-c176662","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group C","2019-08-04 21:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/usa-argentina-c176663","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  1st round","2020-01-08 02:10","Güney Amerika Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-south-american-olympic-qualification-2021-o9749/matches","Movistar Arena, Bogota","https://women.volleybox.net/tr/movistar-arena-a1997/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/argentina-peru-c25689","5 yıl önce önce  tarafından eklendi","S…k","1","1","","","",""
",  2nd round","2020-01-09 02:10","Güney Amerika Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-south-american-olympic-qualification-2021-o9749/matches","Movistar Arena, Bogota","https://women.volleybox.net/tr/movistar-arena-a1997/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/img/light-px.png","Venezuela","https://women.volleybox.net/tr/argentina-venezuela-c25691","5 yıl önce önce  tarafından eklendi","S…k","1","","","","",""
",  3rd round","2020-01-10 01:30","Güney Amerika Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-south-american-olympic-qualification-2021-o9749/matches","Movistar Arena, Bogota","https://women.volleybox.net/tr/movistar-arena-a1997/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c25694","5 yıl önce önce  tarafından eklendi","S…k","1","2","","","",""
",  Group B","2021-07-25 05:05","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/usa-argentina-c40154","4 yıl önce önce  tarafından eklendi","","1","1","72","https://olympics.com/tokyo-2020/olympic-games/en/results/volleyball/result-women-gpb-000200-.htm","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-07-27 03:00","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/russia-argentina-c40166","4 yıl önce önce  tarafından eklendi","","1","1","77","https://olympics.com/tokyo-2020/olympic-games/resOG2020-/pdf/OG2020-/VVO/OG2020-_VVO_C73_VVOWTEAM6-------------GPB-000400--.pdf","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-07-29 03:00","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/italy-argentina-c40169","4 yıl önce önce  tarafından eklendi","","","1","73","http://www.fivb.org/vis2009/getdocument.asmx?no=256318792","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-07-31 08:20","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/argentina-turkey-c40173","4 yıl önce önce  tarafından eklendi","","","1","76","http://www.fivb.org/vis2009/getdocument.asmx?no=256319362","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group B","2021-08-02 10:25","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/china-argentina-c40177","4 yıl önce önce  tarafından eklendi","","","1","75","http://www.fivb.org/vis2009/getdocument.asmx?no=256319841","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
