"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies href","show_predictions","show_movies 2","rank_moderator","rank_moderator href","rank_newbie","rank_newbie href"
",  Round Robin","2022-08-12 03:00","Pan Amerikan Oyunları için Yeterlilik 2023","https://women.volleybox.net/tr/women-pan-american-games-qualification-2023-o25525/matches","Aldo Cantoni Stadium, San Juan","https://women.volleybox.net/tr/aldo-cantoni-stadium-a20/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c124285","2 yıl önce önce  tarafından eklendi","Adrian HS","","","","","","","",""
",  Group B","2023-07-31 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Chengdu University Gymnasium, Chengdu","https://women.volleybox.net/tr/chengdu-university-gymnasium-a6466/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","Çin","https://women.volleybox.net/tr/argentina-china-c183510","1 yıl önce önce  tarafından eklendi","J…e","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-07-31~2023-07-31~213332914~DT_PDF~C73~VVOWTEAM6-------------GPB-000200--~~~3~P~.pdf","","","","","",""
",  Group B","2023-08-01 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Guanghua Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/guanghua-campus-gymnasium-a6465/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/germany-argentina-c183513","1 yıl önce önce  tarafından eklendi","J…e","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-01~2023-08-01~212849932~DT_PDF~C73~VVOWTEAM6-------------GPB-000300--~~~4~P~.pdf","","","","","",""
",  9th-12nd Semi-Final","2023-08-03 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Xihua University Gymnasium, Chengdu","https://women.volleybox.net/tr/xihua-university-gymnasium-a6468/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c183761","1 yıl önce önce  tarafından eklendi","","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-03~2023-08-03~212457733~DT_PDF~C73~VVOWTEAM6-------------SF9-000200--~~~1~P~.pdf","","","","","",""
",  9th place match","2023-08-05 12:30","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Guanghua Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/guanghua-campus-gymnasium-a6465/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/chinese-taipei-argentina-c184478","1 yıl önce önce  tarafından eklendi","","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-05~2023-08-05~190205290~DT_PDF~C73~VVOWTEAM6-------------FNL-000500--~~~1~P~.pdf","","","","","",""
",  Group B","2023-08-06 23:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/mexico-argentina-c182840","1 yıl önce önce  tarafından eklendi","","","","44","3","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group B","2023-08-08 03:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c182858","1 yıl önce önce  tarafından eklendi","","","","47","1","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group B","2023-08-09 03:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/dominican-republic-argentina-c182864","1 yıl önce önce  tarafından eklendi","","","","49","1","avid","https://women.volleybox.net/tr/user/avid","",""
",  Group B","2023-08-10 01:01","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/argentina-chile-c182848","1 yıl önce önce  tarafından eklendi","","","","53","","avid","https://women.volleybox.net/tr/user/avid","",""
",  quarterfinal","2023-08-12 01:00","Pan American Cup 2023","https://women.volleybox.net/tr/women-pan-american-cup-2023-o23287/matches","Auditorio Juan Pachín Vicéns, Ponce","https://women.volleybox.net/tr/auditorio-juan-pachin-vicens-a6448/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/argentina-canada-c186330","1 yıl önce önce  tarafından eklendi","","","","24","","avid","https://women.volleybox.net/tr/user/avid","",""
