"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_moderator","rank_moderator href"
",  Group B","2023-09-17 13:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/japan-argentina-c176691","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256623840","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-19 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/belgium-argentina-c176692","84","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624119","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-20 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/turkey-argentina-c176697","78","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624530","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-22 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c176700","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625496","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-23 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","2 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/bulgaria-argentina-c176705","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626037","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2023-09-24 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","Peru","https://women.volleybox.net/tr/argentina-peru-c176709","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626401","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  quarterfinal","2024-07-05 10:00","Challenger Cup 2024","https://women.volleybox.net/tr/women-challenger-cup-2024-o30099/matches","Ninoy Aquino Stadium, Manilla","https://women.volleybox.net/tr/ninoy-aquino-stadium-a1786/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/czech-republic-argentina-c236045","28","","","","","11 ay önce önce  tarafından eklendi","Belgium","",""
",  Group B","2024-08-18 23:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/argentina-costa-rica-c245750","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH2.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group B","2024-08-20 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/argentina-chile-c245754","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCh10.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group B","2024-08-21 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c245757","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH16.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group B","2024-08-22 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/cuba-argentina-c245761","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH24.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group B","2024-08-23 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Inforum Irapuato, Irapuato","https://women.volleybox.net/tr/inforum-irapuato-a7981/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/argentina-usa-c245764","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH30.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  quarterfinal","2024-08-24 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/argentina-colombia-c249351","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH35.pdf","","","9 ay önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid"
",  semi-final","2024-08-25 05:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/colombia-argentina-c249383","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH40.pdf","","","9 ay önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid"
",  final","2024-08-26 03:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/usa-argentina-c249631","","1","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH44.pdf","","","9 ay önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid"
