"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","rank_newbie","rank_newbie href"
",  Group B","2015-06-15 10:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/bulgaria-russia-c373","10 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group B","2015-06-17 15:30","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/serbia-bulgaria-c394","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group A","2015-06-21 12:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/netherlands-bulgaria-c431","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
",  Group K","2015-07-03 13:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Guillermo Angulo, Carolina","https://women.volleybox.net/tr/coliseo-guillermo-angulo-a3247/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/bulgaria-poland-c63123","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-007.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group K","2015-07-04 13:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Guillermo Angulo, Carolina","https://women.volleybox.net/tr/coliseo-guillermo-angulo-a3247/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/bulgaria-canada-c63125","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-009.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group K","2015-07-05 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Guillermo Angulo, Carolina","https://women.volleybox.net/tr/coliseo-guillermo-angulo-a3247/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/puerto-rico-bulgaria-c63128","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-012.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group M","2015-07-10 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/bulgaria-croatia-c63136","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-020.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group M","2015-07-11 12:40","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-czech-republic-c63138","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-022.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group M","2015-07-12 12:40","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/bulgaria-puerto-rico-c63140","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-024.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group A","2015-08-12 12:30","Dünya Şampiyonası U23 2015","https://women.volleybox.net/tr/women-world-championships-u23-2015-o1027/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/italy-bulgaria-c650","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","","",""
