"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","rank_admin","rank_admin href"
",  Group A2","2017-07-08 21:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","3 : 2","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/upload/teams/nt_flag_Korea_Republic_of.png","Güney Kore","https://women.volleybox.net/tr/bulgaria-south-korea-c6138","1","",""
",  Group A2","2017-07-09 21:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Bulstrad Arena, Ruse","https://women.volleybox.net/tr/bulstrad-arena-a769/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/bulgaria-germany-c6140","1","",""
",  Group F2","2017-07-15 00:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/czech-republic-bulgaria-c6265","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group F2","2017-07-16 00:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/bulgaria-canada-c6267","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group F2","2017-07-17 01:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/puerto-rico-bulgaria-c6270","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-21 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/bulgaria-puerto-rico-c6249","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-22 20:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/croatia-bulgaria-c6252","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group I2","2017-07-23 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/bulgaria-argentina-c6253","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group C","2017-09-23 14:30","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","National Gymnastics Arena, Baku","https://women.volleybox.net/tr/national-gymnastics-arena-a842/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/bulgaria-ukraine-c6695","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group C","2017-09-24 14:30","Avrupa Şampiyonası 2017","https://women.volleybox.net/tr/women-european-championships-2017-o3896/matches","National Gymnastics Arena, Baku","https://women.volleybox.net/tr/national-gymnastics-arena-a842/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/bulgaria-turkey-c6697","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
