"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_predictions","show_movies","show_movies href"
",  2nd round - Group C","2017-06-01 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/romania-bulgaria-c181458","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  2nd round - Group C","2017-06-02 18:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/montenegro-t1033/matches","https://volleybox.net/media/img/light-px.png","Karadağ","https://women.volleybox.net/tr/bulgaria-montenegro-c181460","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  2nd round - Group C","2017-06-03 18:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/bulgaria-turkey-c181463","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  2nd round - Group C","2017-06-04 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Kosova Cumhuriyeti","https://women.volleybox.net/tr/kosovo-t8580/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/kosovo-bulgaria-c181467","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2018-05-19 17:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/portugal-t1117/matches","https://volleybox.net/media/img/light-px.png","Portekiz","https://women.volleybox.net/tr/bulgaria-portugal-c15629","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard","","",""
",  Group A","2018-05-23 18:30","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/bulgaria-ukraine-c15631","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard","","",""
",  Group A","2018-05-26 17:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","Azerbaycan","https://women.volleybox.net/tr/bulgaria-azerbaijan-c15634","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard","","",""
",  Group A","2018-05-30 17:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Darnagul Arena, Baku","https://women.volleybox.net/tr/darnagul-arena-a30/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/azerbaijan-bulgaria-c15635","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard","","",""
",  Group A","2018-06-02 18:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Physical Education College IVANO FRANKIVSK, Ivano Frankivsk","https://women.volleybox.net/tr/physical-education-college-ivano-frankivsk-a855/matches","Ukrayna","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/ukraine-bulgaria-c15637","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard","","",""
",  Group A","2018-06-06 18:00","Avrupa Altın Ligi 2018","https://women.volleybox.net/tr/women-european-golden-league-2018-o5571/matches","Centro de Desportos e Congressos de Matosinhos, Matosinhos","https://women.volleybox.net/tr/centro-de-desportos-e-congressos-de-matosinhos-a834/matches","Portekiz","https://women.volleybox.net/tr/portugal-t1117/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/portugal-bulgaria-c15640","6 yıl önce önce  tarafından eklendi","Ronan Caroff","https://women.volleybox.net/tr/user/halvard","","",""
