"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","rank_editor","rank_editor href","show_movies","show_movies 2","show_movies href","rank_user href"
",  Group C","2019-08-04 01:01","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","3 : 2","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/usa-bulgaria-c176661","2 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  Group C","2019-08-05","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Brookshire Grocery Arena, Bossier City","https://women.volleybox.net/tr/brookshire-grocery-arena-a1496/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/upload/teams/nt_flag_Kazakhstan.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/kazakhstan-bulgaria-c176664","2 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  Group A","2020-01-08 12:00","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 1","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/poland-bulgaria-c25678","5 yıl önce önce  tarafından eklendi","S…k","","","","","","",""
",  Group A","2020-01-08 21:30","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/bulgaria-netherlands-c25682","5 yıl önce önce  tarafından eklendi","S…k","","","","","","",""
",  Group A","2020-01-09 18:00","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","Azerbaycan","https://women.volleybox.net/tr/bulgaria-azerbaijan-c25684","5 yıl önce önce  tarafından eklendi","S…k","","","","","","",""
",","2021-05-15 15:45","dostluk maçı 2020/21","https://women.volleybox.net/tr/women-friendly-match-2020-21-o18272/matches","Podpromie Hall, Rzeszów","https://women.volleybox.net/tr/podpromie-hall-a339/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/poland-bulgaria-c71633","4 yıl önce önce  tarafından eklendi","S…k","","","","","","",""
",  Group B","2021-05-28 19:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Palace of Sports Yunost, Zaporizhya","https://women.volleybox.net/tr/palace-of-sports-yunost-a1106/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","Slovakya","https://women.volleybox.net/tr/bulgaria-slovakia-c71790","4 yıl önce önce  tarafından eklendi","","29","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group B","2021-05-30 19:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Palace of Sports Yunost, Zaporizhya","https://women.volleybox.net/tr/palace-of-sports-yunost-a1106/matches","Ukrayna","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/ukraine-bulgaria-c71799","4 yıl önce önce  tarafından eklendi","","24","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group B","2021-06-04 20:30","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","Slovakya","https://women.volleybox.net/tr/bulgaria-slovakia-c71805","4 yıl önce önce  tarafından eklendi","","27","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","","","",""
",  Group B","2021-06-05 20:30","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Kolodruma Sport Hall, Plovdiv","https://women.volleybox.net/tr/kolodruma-sport-hall-a908/matches","Ukrayna","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/ukraine-bulgaria-c71809","4 yıl önce önce  tarafından eklendi","","26","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228","1","","",""
