"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","show_movies 4"
",  Group B","2023-09-17 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/turkey-bulgaria-c176689","78","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-qualifying-tournament/schedule/16675/","1","3","2 yıl önce önce  tarafından eklendi","J…e",""
",  Group B","2023-09-19 10:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/upload/teams/nt_flag_Brazil.png","3 : 2","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/brazil-bulgaria-c176694","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624134","1","2","2 yıl önce önce  tarafından eklendi","J…e",""
",  Group B","2023-09-20 13:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/japan-bulgaria-c176699","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624659","1","2","2 yıl önce önce  tarafından eklendi","J…e",""
",  Group B","2023-09-22 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/bulgaria-peru-c176701","84","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625495","1","1","2 yıl önce önce  tarafından eklendi","J…e",""
",  Group B","2023-09-23 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/bulgaria-argentina-c176705","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626037","1","1","2 yıl önce önce  tarafından eklendi","J…e",""
",  Group B","2023-09-24 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/bulgaria-puerto-rico-c176708","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626400","1","1","2 yıl önce önce  tarafından eklendi","J…e",""
",","2024-05-08 18:00","dostluk maçı 2023/24","https://women.volleybox.net/tr/women-friendly-match-2023-24-o31265/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/bulgaria-ukraine-c231755","","","","","","1 yıl önce önce  tarafından eklendi","",""
",","2024-05-09 18:00","dostluk maçı 2023/24","https://women.volleybox.net/tr/women-friendly-match-2023-24-o31265/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/bulgaria-belgium-c231754","","","","","","1 yıl önce önce  tarafından eklendi","",""
",","2024-05-11 18:00","dostluk maçı 2023/24","https://women.volleybox.net/tr/women-friendly-match-2023-24-o31265/matches","Hristo Botev Hall, Sofia","https://women.volleybox.net/tr/hristo-botev-hall-a43/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/bulgaria-belgium-c231757","","","","","","1 yıl önce önce  tarafından eklendi","",""
",  Week One","2024-05-14 17:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Antalya Spor Salonu, Antalya","https://women.volleybox.net/tr/antalya-spor-salonu-a1227/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/bulgaria-netherlands-c215129","124","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659020","1","2","1 yıl önce önce  tarafından eklendi","I…Y","4"
