"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_newbie","rank_newbie href","show_movies","show_predictions","show_movies 2","show_movies href","rank_user","rank_user href","rank_moderator","rank_moderator href"
",  regular season - 2nd round","2025-05-24 21:00","International Tournament for the Koszalin President's Cup 2025","https://women.volleybox.net/tr/women-international-tournament-for-the-koszalin-presidents-cup-2025-o40639/matches","Hala Widowiskowo-Sportowa, Lubin","https://women.volleybox.net/tr/hala-widowiskowo-sportowa-a568/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","2 : 3","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/upload/teams/nt_flag_France.png","Fransa","https://women.volleybox.net/tr/bulgaria-france-c299340","3 hafta önce önce  tarafından eklendi","nazzzEUROVOLLEY","https://women.volleybox.net/tr/user/nazzzEUROVOLLEY","","","","","","","",""
",  regular season - 3rd round","2025-05-25 20:30","International Tournament for the Koszalin President's Cup 2025","https://women.volleybox.net/tr/women-international-tournament-for-the-koszalin-presidents-cup-2025-o40639/matches","Hala Widowiskowo-Sportowa, Lubin","https://women.volleybox.net/tr/hala-widowiskowo-sportowa-a568/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","2 : 3","https://women.volleybox.net/tr/sweden-t1198/matches","https://volleybox.net/media/upload/teams/nt_flag_Sweden.png","İsveç","https://women.volleybox.net/tr/bulgaria-sweden-c299342","3 hafta önce önce  tarafından eklendi","nazzzEUROVOLLEY","https://women.volleybox.net/tr/user/nazzzEUROVOLLEY","1","","","","","","",""
",  Week One","2025-06-05 02:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/bulgaria-canada-c281021","4 ay önce önce  tarafından eklendi","","","3","103","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256750332.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250605%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250605T054315Z&X-Amz-SignedHeaders=host&X-Amz-Signature=737b8d1361af39fd6442d16aefd9d5e7108d24e220106363a53faeffa48ee20c","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week One","2025-06-05 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-dominican-republic-c281022","4 ay önce önce  tarafından eklendi","","","2","109","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751195.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T021216Z&X-Amz-SignedHeaders=host&X-Amz-Signature=4845ac3937d00f57b73d4b63badc2e2614552c3ee30605489cb9923d056fa398","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week One","2025-06-08 02:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/bulgaria-dominican-republic-c281025","4 ay önce önce  tarafından eklendi","","","1","99","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753325.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T050240Z&X-Amz-SignedHeaders=host&X-Amz-Signature=9ae45ea86e8df067a705ecb10e4d85edcadc95b874eaf83bef12795b17e62d83","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week One","2025-06-08 21:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/bulgaria-netherlands-c281029","4 ay önce önce  tarafından eklendi","","","2","103","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753859.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T215547Z&X-Amz-SignedHeaders=host&X-Amz-Signature=2cb34210e5f47f6a58dd887fe9dd06b5a8c5b381292010f324e3ae3a2c866285","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","",""
",  Week Two","2025-06-18 08:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/bulgaria-italy-c300072","2 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","59","","","","","",""
",  Week Two","2025-06-19 15:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/bulgaria-china-c300083","2 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","41","","","","","",""
",  Week Two","2025-06-20 12:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-czech-republic-c300087","2 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","33","","","","","",""
",  Week Two","2025-06-22 08:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/bulgaria-thailand-c300114","1 gün önce önce  tarafından eklendi","Michał","https://women.volleybox.net/tr/user/michal9408","","25","","","","","",""
