"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_admin","rank_admin href"
",  Group B","2017-06-18 23:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/upload/teams/nt_flag_Trinidad_and_Tobago.png","Trinidad ve Tobago","https://women.volleybox.net/tr/canada-trinidad-and-tobago-c185558","1 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2017-06-20 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/dominican-republic-canada-c185562","1 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2017-06-21 03:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/peru-canada-c185566","1 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B","2017-06-22 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Şili","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/upload/teams/nt_flag_Chile.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/chile-canada-c185568","1 yıl önce önce  tarafından eklendi","J…e","",""
",  5th-10th places","2017-06-24 02:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/img/light-px.png","Venezuela","https://women.volleybox.net/tr/canada-venezuela-c6086","7 yıl önce önce  tarafından eklendi","Airton Neto","",""
",  5-8 places","2017-06-25 04:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/canada-argentina-c6089","7 yıl önce önce  tarafından eklendi","Airton Neto","",""
",  5th place match","2017-06-26 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/cuba-canada-c185538","1 yıl önce önce  tarafından eklendi","J…e","",""
",  Group B2","2017-07-07 22:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/argentina-canada-c6142","7 yıl önce önce  tarafından eklendi","","",""
",  Group B2","2017-07-08 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/poland-canada-c6143","7 yıl önce önce  tarafından eklendi","","",""
",  Group B2","2017-07-09 17:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Estadio Ruca Che, Neuquen","https://women.volleybox.net/tr/estadio-ruca-che-a770/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/canada-croatia-c6158","7 yıl önce önce  tarafından eklendi","","",""
