"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_predictions","show_movies","show_movies href"
",  Group B","2017-09-29 21:00","Norcec Dünya Şampiyonası için Kalifikasyon 2018","https://women.volleybox.net/tr/women-norceca-world-championship-qualification-2018-o21794/matches","Langley Events Centre, Vancouver","https://women.volleybox.net/tr/langley-events-centre-a94/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","3 : 0","https://women.volleybox.net/tr/nicaragua-t1069/matches","https://volleybox.net/media/upload/teams/nt_flag_Nicaragua.png","Nikaragua","https://women.volleybox.net/tr/canada-nicaragua-c154526","2 yıl önce önce  tarafından eklendi","","","","",""
",  Group B","2017-09-30 22:20","Norcec Dünya Şampiyonası için Kalifikasyon 2018","https://women.volleybox.net/tr/women-norceca-world-championship-qualification-2018-o21794/matches","Langley Events Centre, Vancouver","https://women.volleybox.net/tr/langley-events-centre-a94/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/canada-cuba-c154527","2 yıl önce önce  tarafından eklendi","","","","",""
",  Group A","2018-05-17 03:00","NORCECA Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2018-o10469/matches","Edmonton Expo Centre, Edmonton","https://women.volleybox.net/tr/edmonton-expo-centre-a5586/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/upload/teams/nt_flag_Trinidad_and_Tobago.png","Trinidad ve Tobago","https://women.volleybox.net/tr/canada-trinidad-and-tobago-c148653","2 yıl önce önce  tarafından eklendi","B…2","","","",""
",  final","2018-05-21 03:00","NORCECA Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2018-o10469/matches","Edmonton Expo Centre, Edmonton","https://women.volleybox.net/tr/edmonton-expo-centre-a5586/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/canada-puerto-rico-c148658","2 yıl önce önce  tarafından eklendi","B…2","","","",""
",  Group A","2018-07-08 21:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/canada-peru-c10264","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","",""
",  Group A","2018-07-09 16:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kosta Rika","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/costa-rica-canada-c10270","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","",""
",  Group A","2018-07-11 03:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/dominican-republic-canada-c10288","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","",""
",  semi-final","2018-07-13 19:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/canada-usa-c10320","6 yıl önce önce  tarafından eklendi","","","","",""
",  3rd place match","2018-07-14 17:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/canada-brazil-c10318","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","",""
",  Group B","2018-09-29 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hokkaido Sports Center, Sapporo","https://women.volleybox.net/tr/hokkaido-sports-center-a277/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/turkey-canada-c9737","7 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121092"
",  Group B","2018-09-30 07:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hokkaido Sports Center, Sapporo","https://women.volleybox.net/tr/hokkaido-sports-center-a277/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/canada-italy-c9745","7 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","11","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121199"
",  Group B","2018-10-02 13:20","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hokkaido Sports Center, Sapporo","https://women.volleybox.net/tr/hokkaido-sports-center-a277/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/china-canada-c9766","7 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","9","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256121847"
",  Group B","2018-10-03 10:10","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hokkaido Sports Center, Sapporo","https://women.volleybox.net/tr/hokkaido-sports-center-a277/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/canada-cuba-c9777","7 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","9","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122086"
",  Group B","2018-10-04 07:40","Dünya Şampiyonası 2018","https://women.volleybox.net/tr/women-world-championships-2018-o4072/matches","Hokkaido Sports Center, Sapporo","https://women.volleybox.net/tr/hokkaido-sports-center-a277/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/bulgaria-canada-c9785","7 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","8","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256122283"
