"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies"
",  Round Robin","2019-06-02 19:00","NORCECA Challenger Cup Qualification 2019","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2019-o10352/matches","Sportplex Beau-Chateau, Châteauguay - Quebec","https://women.volleybox.net/tr/sportplex-beau-chateau-a5587/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/canada-puerto-rico-c148669","2 yıl önce önce  tarafından eklendi","B…2",""
",  Group B","2019-06-28 01:10","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/canada-chinese-taipei-c16555","5 yıl önce önce  tarafından eklendi","S…k","1"
",  Group B","2019-06-29 01:10","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/argentina-canada-c16556","5 yıl önce önce  tarafından eklendi","S…k","1"
",  semi-final","2019-06-30 04:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/canada-croatia-c16583","5 yıl önce önce  tarafından eklendi","S…k",""
",  final","2019-07-01","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/czech-republic-canada-c16585","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-07-05 13:00","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/canada-mexico-c16600","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-07-06 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/canada-thailand-c16620","5 yıl önce önce  tarafından eklendi","S…k","1"
",  Group A","2019-07-07","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/argentina-canada-c16671","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-07-07 15:30","FISU Dünya Üniversite Oyunları 2019","https://women.volleybox.net/tr/women-fisu-world-university-games-2019-o8878/matches","PalaTedeschi, Benevento","https://women.volleybox.net/tr/palatedeschi-a1369/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/russia-canada-c16636","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-07-08 02:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/cuba-canada-c16675","5 yıl önce önce  tarafından eklendi","S…k",""
