"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_predictions","show_movies 2","show_movies href"
",  Group E","2019-08-03 20:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/russia-canada-c176674","2 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group E","2019-08-04 17:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/mexico-canada-c176675","2 yıl önce önce  tarafından eklendi","J…e","","","",""
",  1st round","2020-01-11 02:10","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/canada-puerto-rico-c25695","5 yıl önce önce  tarafından eklendi","S…k","1","","",""
",  2nd round","2020-01-12 02:10","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/canada-dominican-republic-c25698","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  3rd round","2020-01-12 23:00","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/mexico-canada-c25699","5 yıl önce önce  tarafından eklendi","S…k","1","","",""
",  round robin - 1st round","2021-05-25 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/brazil-canada-c69062","4 yıl önce önce  tarafından eklendi","","1","68","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-8-Brasiloe-canada-3-1.jpg"
",  round robin - 2nd round","2021-05-26 22:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/usa-canada-c69075","4 yıl önce önce  tarafından eklendi","","1","67","1","https://usavolleyball.org/wp-content/uploads/2021/05/5-26-21-VNL-USAW-vs-can-Match-Report.pdf"
",  round robin - 3rd round","2021-05-27 16:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/canada-dominican-republic-c69085","4 yıl önce önce  tarafından eklendi","","2","63","1","https://cdn9.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-20-Canada-dominicana-1-3.jpg"
",  round robin - 4th round","2021-05-31 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/canada-turkey-c70041","4 yıl önce önce  tarafından eklendi","S…k","3","65","1","https://cdn8.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-29-Canada-Turchia-2-3.jpg"
",  round robin - 5th round","2021-06-01 17:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/china-canada-c70049","4 yıl önce önce  tarafından eklendi","S…k","1","57","1","https://cdn5.volleyball.it/wp-content/uploads/2021/06/WVNL2021-Match-37-Cina-canada-2-3.jpg"
