"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_user href","rank_moderator","rank_moderator href"
",  Group A","2023-09-17 08:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 2","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/dominican-republic-canada-c190927","77","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256623791","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14","",""
",  Group A","2023-09-19 05:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/serbia-canada-c190930","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624063","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14","",""
",  Group A","2023-09-20 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/china-canada-c190937","80","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624637","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14","",""
",  Group A","2023-09-22 08:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/canada-ukraine-c190939","84","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625244","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14","",""
",  Group A","2023-09-23 08:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/canada-mexico-c190943","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625971","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14","",""
",  Group A","2023-09-24 08:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/canada-czech-republic-c190947","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626394","1","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14","",""
",  Week One","2024-05-15 03:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/brazil-canada-c215132","130","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659169","1","2","1 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Week One","2024-05-17 03:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/dominican-republic-canada-c215142","130","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256659959","2","1","1 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Week One","2024-05-17 23:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/china-canada-c215147","134","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256660850","1","1","1 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Week One","2024-05-19 03:00","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/thailand-canada-c215154","126","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256661944","2","1","1 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Week Two","2024-05-29 03:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/canada-usa-c215164","126","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256664650.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240529%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240529T063214Z&X-Amz-SignedHeaders=host&X-Amz-Signature=6218f7853aeadb9f572a35317b982c333558905fbd9933d45c51f470ce1300d2","1","","1 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Week Two","2024-05-31","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/canada-germany-c215173","128","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256665313.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240531%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240531T065742Z&X-Amz-SignedHeaders=host&X-Amz-Signature=7af0548127ba96146f1c893a66fc14c716d2ab329f9f0a5eaac0e8f708e01559","1","2","1 yıl önce önce  tarafından eklendi","I…Y","","",""
",  Week Two","2024-06-01 00:30","Voleybol Milletler Ligi 2024","https://women.volleybox.net/tr/women-volleyball-nations-league-2024-o30705/matches","College Park Center, Arlington","https://women.volleybox.net/tr/college-park-center-a5396/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/serbia-canada-c215179","119","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256665934.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20240601%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240601T061941Z&X-Amz-SignedHeaders=host&X-Amz-Signature=9e2a6a6cc0a732eef2dfa6b0815146d974cca267ae2db638149bf1924cfee8a8","1","1","1 yıl önce önce  tarafından eklendi","I…Y","","",""
