"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","connected_by","rank_user","rank_user href","show_movies 2","rank_newbie","rank_newbie href","rank_moderator","rank_moderator href"
",  Week One","2025-06-06 02:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/canada-netherlands-c281023","107","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751220.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250606%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250606T052307Z&X-Amz-SignedHeaders=host&X-Amz-Signature=2945c56fd5f11d98eef79dc207eac493b36c3c90a62571e21fd43c89e9147c30","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","","",""
",  Week One","2025-06-07 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","Japonya","https://women.volleybox.net/tr/canada-japan-c281027","101","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256753289","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","1","","","",""
",  Week One","2025-06-09 01:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/canada-serbia-c281030","103","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753935.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250609%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250609T060628Z&X-Amz-SignedHeaders=host&X-Amz-Signature=84c4b9eb19da70756d1caf0e842fae2148eb1710c4fcef7342796eed786c10bb","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","","",""
",  Week Two","2025-06-18 12:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/south-korea-canada-c300075","58","","","2 gün önce önce  tarafından eklendi","","","1","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-19 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/turkey-canada-c300055","38","","","2 gün önce önce  tarafından eklendi","Norwen","https://women.volleybox.net/tr/user/Norwen","1","","","",""
",  Week Two","2025-06-20 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/canada-brazil-c300091","30","","","2 gün önce önce  tarafından eklendi","","","1","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-22 12:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/belgium-canada-c300116","26","","","1 gün önce önce  tarafından eklendi","","","1","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Group E","2025-08-23 12:00","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/canada-bulgaria-c289061","11","","","3 ay önce önce  tarafından eklendi","","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group E","2025-08-25 12:00","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/canada-spain-c289082","8","","","3 ay önce önce  tarafından eklendi","","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
",  Group E","2025-08-27 12:00","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/turkey-canada-c289098","8","","","3 ay önce önce  tarafından eklendi","","","","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins"
