"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href"
",  Group B","2018-08-21 12:30","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/china-chinese-taipei-c10756"
",  Group B","2018-08-23 08:30","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Vietnam","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/upload/teams/nt_flag_Vietnam.png","2 : 3","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/vietnam-chinese-taipei-c10758"
",  Group B","2018-08-25 15:00","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Bulungan Sport Hall, Jakarta","https://women.volleybox.net/tr/bulungan-sport-hall-a1096/matches","Hindistan","https://women.volleybox.net/tr/india-t904/matches","https://volleybox.net/media/upload/teams/nt_flag_India.png","2 : 3","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/india-chinese-taipei-c10762"
",  Group B","2018-08-27 15:00","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Gelora Bung Karno Indoor Stadium, Jakarta","https://women.volleybox.net/tr/gelora-bung-karno-indoor-stadium-a1095/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/chinese-taipei-south-korea-c10765"
",  9th place match","2018-08-31 05:00","Asya Oyunları 2018","https://women.volleybox.net/tr/women-asian-games-2018-o6019/matches","Bulungan Sport Hall, Jakarta","https://women.volleybox.net/tr/bulungan-sport-hall-a1096/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/india-t904/matches","https://volleybox.net/media/img/light-px.png","Hindistan","https://women.volleybox.net/tr/chinese-taipei-india-c10848"
",  Group B","2018-09-17 22:00","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/chinese-taipei-china-c10999"
",  Group B","2018-09-18 10:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Vietnam","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/vietnam-chinese-taipei-c11000"
",  quarterfinal","2018-09-19 09:30","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/south-korea-chinese-taipei-c11033"
",  semi-final","2018-09-21 12:00","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/chinese-taipei-japan-c11060"
",  3rd place match","2018-09-23 12:00","AVC Cup 2018","https://women.volleybox.net/tr/women-avc-cup-2018-o4335/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/thailand-chinese-taipei-c11068"
