"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","rank_user","rank_editor","rank_editor href","rank_newbie","rank_newbie href"
",  Group B","2023-06-20 10:00","AVC Nations Cup 2023","https://women.volleybox.net/tr/women-asian-challenge-cup-2023-o30287/matches","GOR Tri Dharma Petrokimia Gresik, Gresik","https://women.volleybox.net/tr/gor-tri-dharma-petrokimia-gresik-a2097/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","3 : 0","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/upload/teams/nt_flag_Iran_Islamic_Republic_of.png","İran","https://women.volleybox.net/tr/chinese-taipei-iran-c177690","1","https://women.volleybox.net/tr/frame/match_report/0/42322","J…e","","","",""
",  Group F","2023-06-21 10:00","AVC Nations Cup 2023","https://women.volleybox.net/tr/women-asian-challenge-cup-2023-o30287/matches","GOR Tri Dharma Petrokimia Gresik, Gresik","https://women.volleybox.net/tr/gor-tri-dharma-petrokimia-gresik-a2097/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","3 : 0","https://women.volleybox.net/tr/uzbekistan-t1261/matches","https://volleybox.net/media/upload/teams/nt_flag_Uzbekistan.png","Özbekistan","https://women.volleybox.net/tr/chinese-taipei-uzbekistan-c177707","1","https://women.volleybox.net/tr/frame/match_report/0/42675","J…e","","","",""
",  Group F","2023-06-23 10:00","AVC Nations Cup 2023","https://women.volleybox.net/tr/women-asian-challenge-cup-2023-o30287/matches","GOR Tri Dharma Petrokimia Gresik, Gresik","https://women.volleybox.net/tr/gor-tri-dharma-petrokimia-gresik-a2097/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","0 : 3","https://women.volleybox.net/tr/vietnam-t1270/matches","https://volleybox.net/media/upload/teams/nt_flag_Vietnam.png","Vietnam","https://women.volleybox.net/tr/chinese-taipei-vietnam-c177711","1","https://women.volleybox.net/tr/frame/match_report/0/43020","J…e","","","",""
",  semi-final","2023-06-24 12:30","AVC Nations Cup 2023","https://women.volleybox.net/tr/women-asian-challenge-cup-2023-o30287/matches","GOR Tri Dharma Petrokimia Gresik, Gresik","https://women.volleybox.net/tr/gor-tri-dharma-petrokimia-gresik-a2097/matches","Endonezya","https://women.volleybox.net/tr/indonesia-t907/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/indonesia-chinese-taipei-c178106","1","https://women.volleybox.net/tr/frame/match_report/0/43399","k_fh_","","","",""
",  3rd place match","2023-06-25 12:30","AVC Nations Cup 2023","https://women.volleybox.net/tr/women-asian-challenge-cup-2023-o30287/matches","GOR Tri Dharma Petrokimia Gresik, Gresik","https://women.volleybox.net/tr/gor-tri-dharma-petrokimia-gresik-a2097/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/india-t904/matches","https://volleybox.net/media/img/light-px.png","Hindistan","https://women.volleybox.net/tr/chinese-taipei-india-c178162","1","https://women.volleybox.net/tr/frame/match_report/0/45400","k_fh_","","","",""
",  Group A","2023-07-31 12:30","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Xipu Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/xipu-campus-gymnasium-a6464/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/chinese-taipei-poland-c183507","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-07-31~2023-07-31~201351413~DT_PDF~C73~VVOWTEAM6-------------GPA-000200--~~~1~P~.pdf","J…e","","","",""
",  Group A","2023-08-01 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Xihua University Gymnasium, Chengdu","https://women.volleybox.net/tr/xihua-university-gymnasium-a6468/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/brazil-chinese-taipei-c183514","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-01~2023-08-01~212723912~DT_PDF~C73~VVOWTEAM6-------------GPA-000300--~~~1~P~.pdf","J…e","","","",""
",  9th-12nd Semi-Final","2023-08-03 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Hongyi Gymnasium, Chengdu","https://women.volleybox.net/tr/hongyi-gymnasium-a6467/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/india-t904/matches","https://volleybox.net/media/img/light-px.png","Hindistan","https://women.volleybox.net/tr/chinese-taipei-india-c183760","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-03~2023-08-03~211454544~DT_PDF~C73~VVOWTEAM6-------------SF9-000100--~~~1~P~.pdf","","sitenoise","https://women.volleybox.net/tr/user/sitenoise","",""
",  9th place match","2023-08-05 12:30","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Guanghua Campus Gymnasium, Chengdu","https://women.volleybox.net/tr/guanghua-campus-gymnasium-a6465/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/chinese-taipei-argentina-c184478","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-08-05~2023-08-05~190205290~DT_PDF~C73~VVOWTEAM6-------------FNL-000500--~~~1~P~.pdf","","sitenoise","https://women.volleybox.net/tr/user/sitenoise","",""
",  Group C","2023-08-30 14:00","Asya Şampiyonası 2023","https://women.volleybox.net/tr/women-asian-championships-2023-o25267/matches","MCC Hall The Mall Korat, Nakhon Ratchasima","https://women.volleybox.net/tr/mcc-hall-the-mall-korat-a1084/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/uzbekistan-t1261/matches","https://volleybox.net/media/img/light-px.png","Özbekistan","https://women.volleybox.net/tr/chinese-taipei-uzbekistan-c187115","1","https://asianvolleyball.net/new/wp-content/uploads/2023/08/Bulletin_No2_Sr.Women_.pdf","","","","Tia_maria","https://women.volleybox.net/tr/user/Tia_maria"
