"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_newbie","rank_newbie href","rank_user","rank_user href"
",  Group O","2015-06-27 13:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Gimnasio Nuevo León, Monterry","https://women.volleybox.net/tr/gimnasio-nuevo-leon-a3248/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c63154","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-009.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Group O","2015-06-28 12:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Gimnasio Nuevo León, Monterry","https://women.volleybox.net/tr/gimnasio-nuevo-leon-a3248/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","Kenya","https://women.volleybox.net/tr/colombia-kenya-c63156","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-011.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Group P","2015-07-03 15:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c63159","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-014.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Group P","2015-07-04 10:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/kazakhstan-colombia-c63160","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-015.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Group P","2015-07-05 11:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/colombia-cuba-c63162","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-017.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Semi-Final (Group 3)","2015-07-11 12:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","AIS Arena, Canberra","https://women.volleybox.net/tr/ais-arena-a776/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c63148","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-025.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  3rd place match (Group 3)","2015-07-12 09:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","AIS Arena, Canberra","https://women.volleybox.net/tr/ais-arena-a776/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","Avustralya","https://women.volleybox.net/tr/colombia-australia-c63151","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-027.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Group A","2015-08-12 14:00","Dünya Şampiyonası U23 2015","https://women.volleybox.net/tr/women-world-championships-u23-2015-o1027/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/brazil-colombia-c649","1","https://www.fivb.org/vis_web/volley/WU232015/WU232015_p2-002.pdf","9 yıl önce önce  tarafından eklendi","","","sait864","https://women.volleybox.net/tr/user/sait864"
",  Group A","2015-08-13 10:00","Dünya Şampiyonası U23 2015","https://women.volleybox.net/tr/women-world-championships-u23-2015-o1027/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/bulgaria-colombia-c652","","","9 yıl önce önce  tarafından eklendi","","","sait864","https://women.volleybox.net/tr/user/sait864"
",  Group A","2015-08-14 10:00","Dünya Şampiyonası U23 2015","https://women.volleybox.net/tr/women-world-championships-u23-2015-o1027/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/italy-colombia-c665","","","9 yıl önce önce  tarafından eklendi","","","sait864","https://women.volleybox.net/tr/user/sait864"
",  Group A","2015-08-15 10:00","Dünya Şampiyonası U23 2015","https://women.volleybox.net/tr/women-world-championships-u23-2015-o1027/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/egypt-t811/matches","https://volleybox.net/media/img/light-px.png","Mısır","https://women.volleybox.net/tr/colombia-egypt-c668","","","9 yıl önce önce  tarafından eklendi","","","sait864","https://women.volleybox.net/tr/user/sait864"
",  Group A","2015-09-29 15:00","Güney Amerika Şampiyonası 2015","https://women.volleybox.net/tr/women-south-american-championships-2015-o1106/matches","Coliseo Northon Madrid, Cartagena","https://women.volleybox.net/tr/coliseo-northon-madrid-a1626/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/paraguay-t1105/matches","https://volleybox.net/media/img/light-px.png","Paraguay","https://women.volleybox.net/tr/colombia-paraguay-c31992","","","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Group A","2015-09-30 15:00","Güney Amerika Şampiyonası 2015","https://women.volleybox.net/tr/women-south-american-championships-2015-o1106/matches","Coliseo Northon Madrid, Cartagena","https://women.volleybox.net/tr/coliseo-northon-madrid-a1626/matches","Venezuela","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/venezuela-colombia-c31994","","","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  Group A","2015-10-01 15:00","Güney Amerika Şampiyonası 2015","https://women.volleybox.net/tr/women-south-american-championships-2015-o1106/matches","Coliseo Northon Madrid, Cartagena","https://women.volleybox.net/tr/coliseo-northon-madrid-a1626/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/colombia-peru-c31996","","","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  semi-final","2015-10-02 15:00","Güney Amerika Şampiyonası 2015","https://women.volleybox.net/tr/women-south-american-championships-2015-o1106/matches","Coliseo Northon Madrid, Cartagena","https://women.volleybox.net/tr/coliseo-northon-madrid-a1626/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/brazil-colombia-c32008","","","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
",  3rd place match","2015-10-03 12:30","Güney Amerika Şampiyonası 2015","https://women.volleybox.net/tr/women-south-american-championships-2015-o1106/matches","Coliseo Northon Madrid, Cartagena","https://women.volleybox.net/tr/coliseo-northon-madrid-a1626/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c32009","","","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","",""
