"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_moderator","rank_moderator href","rank_admin","rank_admin href"
",  Group A","2017-06-18 23:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/colombia-usa-c185543","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2017-06-19 23:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c185546","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2017-06-20 23:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","3 : 0","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/upload/teams/nt_flag_Venezuela.png","Venezuela","https://women.volleybox.net/tr/colombia-venezuela-c185549","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2017-06-22 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/colombia-mexico-c185553","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  5th-10th places","2017-06-24","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","Trinidad ve Tobago","https://women.volleybox.net/tr/colombia-trinidad-and-tobago-c6085","7 yıl önce önce  tarafından eklendi","Airton Neto","","","",""
",  5-8 places","2017-06-25 02:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/cuba-colombia-c6088","7 yıl önce önce  tarafından eklendi","Airton Neto","","","",""
",  7th place match","2017-06-25 22:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/colombia-argentina-c185539","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group C2","2017-07-07 17:35","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/czech-republic-colombia-c6145","7 yıl önce önce  tarafından eklendi","","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group C2","2017-07-08 19:05","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c6148","7 yıl önce önce  tarafından eklendi","","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group C2","2017-07-09 17:35","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/puerto-rico-colombia-c6163","7 yıl önce önce  tarafından eklendi","","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
