"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","rank_user","show_predictions","rank_moderator","rank_moderator href"
",  Group B","2019-07-08 02:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/puerto-rico-colombia-c16689","S…k","","",""
",  Group B","2019-07-10","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Trinidad ve Tobago","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/upload/teams/nt_flag_Trinidad_and_Tobago.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/trinidad-and-tobago-colombia-c16692","S…k","","",""
",  Group B","2019-07-11","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","Meksika","https://women.volleybox.net/tr/colombia-mexico-c16694","S…k","","",""
",  quarterfinal","2019-07-13 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c16816","S…k","","",""
",  semi-final","2019-07-14 02:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/usa-colombia-c17038","S…k","","",""
",  3rd place match","2019-07-14 22:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/colombia-puerto-rico-c17251","S…k","","",""
",  Group A","2019-08-08 02:30","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/dominican-republic-colombia-c17470","","22","marciovolley","https://women.volleybox.net/tr/user/marciovolley"
",  Group A","2019-08-08 18:30","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/peru-colombia-c17473","","24","marciovolley","https://women.volleybox.net/tr/user/marciovolley"
",  Group A","2019-08-09 16:30","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/colombia-canada-c17474","","24","marciovolley","https://women.volleybox.net/tr/user/marciovolley"
",  semi-final","2019-08-10 19:30","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/brazil-colombia-c18580","Anderson Antunes","17","",""
",  final","2019-08-11 19:00","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/colombia-dominican-republic-c18640","","12","marciovolley","https://women.volleybox.net/tr/user/marciovolley"
",  Group B","2019-08-29 01:10","Güney Amerika Şampiyonası 2019","https://women.volleybox.net/tr/women-south-american-championships-2019-o8959/matches","Coliseo Qhapaq Ñan, Cajamarca","https://women.volleybox.net/tr/coliseo-qhapaq-nan-a1600/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/uruguay-t1258/matches","https://volleybox.net/media/img/light-px.png","Uruguay","https://women.volleybox.net/tr/colombia-uruguay-c19123","S…k","","",""
