"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_moderator","rank_moderator href","show_movies","show_movies href","show_movies 2","show_predictions","rank_newbie","rank_newbie href"
",  Round Robin","2022-08-12 03:00","Pan Amerikan Oyunları için Yeterlilik 2023","https://women.volleybox.net/tr/women-pan-american-games-qualification-2023-o25525/matches","Aldo Cantoni Stadium, San Juan","https://women.volleybox.net/tr/aldo-cantoni-stadium-a20/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/argentina-colombia-c124285","2 yıl önce önce  tarafından eklendi","Adrian HS","","","","","","","",""
",  Group B","2023-07-05 02:00","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/colombia-cuba-c178205","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","","",""
",  Group B","2023-07-05 19:30","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/upload/teams/nt_flag_Trinidad_and_Tobago.png","Trinidad ve Tobago","https://women.volleybox.net/tr/colombia-trinidad-and-tobago-c178207","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","","",""
",  Group B","2023-07-07 05:00","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","El Salvador","https://women.volleybox.net/tr/el-salvador-t814/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/el-salvador-colombia-c178210","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","","",""
",  semi-final","2023-07-08 05:00","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/colombia-puerto-rico-c178943","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","","",""
",  3rd place match","2023-07-08 22:30","Orta Amerika ve Karayip Oyunları 2023","https://women.volleybox.net/tr/women-central-american-and-caribbean-games-2023-o25638/matches","Palacio de los Deportes Carlos El Famoso Hernández, San Salvador","https://women.volleybox.net/tr/palacio-de-los-deportes-carlos-el-famoso-hernandez-a6388/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/colombia-cuba-c178969","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","","","","","",""
",  quarterfinal","2023-07-28 21:30","Challenger Cup 2023","https://women.volleybox.net/tr/women-challenger-cup-2023-o25086/matches","Espace Mayenne, Laval","https://women.volleybox.net/tr/espace-mayenne-a3662/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/colombia-kenya-c180184","1 yıl önce önce  tarafından eklendi","Pablo","","","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256605800","1","","",""
",  semi-final","2023-07-29 21:30","Challenger Cup 2023","https://women.volleybox.net/tr/women-challenger-cup-2023-o25086/matches","Espace Mayenne, Laval","https://women.volleybox.net/tr/espace-mayenne-a3662/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/sweden-t1198/matches","https://volleybox.net/media/img/light-px.png","İsveç","https://women.volleybox.net/tr/colombia-sweden-c183484","1 yıl önce önce  tarafından eklendi","","avid","https://women.volleybox.net/tr/user/avid","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256606002","1","","",""
",  3rd place match","2023-07-30 14:30","Challenger Cup 2023","https://women.volleybox.net/tr/women-challenger-cup-2023-o25086/matches","Espace Mayenne, Laval","https://women.volleybox.net/tr/espace-mayenne-a3662/matches","Ukrayna","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/ukraine-colombia-c183551","1 yıl önce önce  tarafından eklendi","Pablo","","","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256606079","1","","",""
",  Group D","2023-07-30 15:00","FISU Dünya Üniversite Oyunları 2023","https://women.volleybox.net/tr/women-fisu-world-university-games-2023-o18269/matches","Hongyi Gymnasium, Chengdu","https://women.volleybox.net/tr/hongyi-gymnasium-a6467/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/colombia-czech-republic-c183506","1 yıl önce önce  tarafından eklendi","J…e","","","1","https://pdf.2021chengdu.com/CHENGDU2021/VVO/PDF/CHENGDU2021~2023-07-30~2023-07-30~213427601~DT_PDF~C73~VVOWTEAM6-------------GPD-000100--~~~1~P~.pdf","","","",""
