"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_moderator","rank_moderator href"
",  Group C","2023-09-17 12:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/germany-colombia-c176716","81","https://www.fivb.org/vis2009/getdocument.asmx?no=256623846","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-19 18:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/poland-colombia-c176722","80","https://www.fivb.org/vis2009/getdocument.asmx?no=256624420","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-20 12:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 0","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/italy-colombia-c176724","83","https://www.fivb.org/vis2009/getdocument.asmx?no=256624658","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-22 12:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/colombia-south-korea-c176728","83","https://www.fivb.org/vis2009/getdocument.asmx?no=256625635","1","1","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-23 12:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","Slovenya","https://women.volleybox.net/tr/colombia-slovenia-c176732","80","https://www.fivb.org/vis2009/getdocument.asmx?no=256626177","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group C","2023-09-24 15:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/thailand-colombia-c176737","85","https://www.fivb.org/vis2009/getdocument.asmx?no=256626532","1","2","2 yıl önce önce  tarafından eklendi","J…e","",""
",  Group A","2024-08-19 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/colombia-canada-c245736","","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH3.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-19 23:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/suriname-t8591/matches","https://volleybox.net/media/img/light-px.png","Surinam","https://women.volleybox.net/tr/colombia-suriname-c245738","","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH7.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-21 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/colombia-peru-c245742","","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH15.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-22 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/dominican-republic-colombia-c245745","","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH21.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
",  Group A","2024-08-23 02:00","Pan American Cup 2024","https://women.volleybox.net/tr/women-pan-american-cup-2024-o33428/matches","Domo de la Feria, León","https://women.volleybox.net/tr/domo-de-la-feria-a826/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","Kolombiya","https://women.volleybox.net/tr/mexico-colombia-c245749","","https://norceca.net/2024%20Events/Pan-Americans%20Cups/Women%20PanAmerican%20Cup%202024/Calendar%20WPANAC24/P2%20MATCH29.pdf","","","10 ay önce önce  tarafından eklendi","","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos"
