"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_newbie","rank_newbie href","show_movies 2","rank_user","rank_user href"
",  Group J","2015-07-04 16:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c63119","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-004.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group J","2015-07-05 13:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 1","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/czech-republic-argentina-c63120","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-005.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group M","2015-07-10 12:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 2","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/puerto-rico-czech-republic-c63135","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-019.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group M","2015-07-11 12:40","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-czech-republic-c63138","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-022.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group M","2015-07-12 10:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/croatia-czech-republic-c63139","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-023.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group 2 - semi-final","2015-08-01 01:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Globus, Lublin","https://women.volleybox.net/tr/globus-a543/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/netherlands-czech-republic-c630","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-025.pdf","9 yıl önce önce  tarafından eklendi","","","2","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  3rd place match (Group 2)","2015-08-02 11:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Globus, Lublin","https://women.volleybox.net/tr/globus-a543/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/poland-netherlands-c633","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-027.pdf","9 yıl önce önce  tarafından eklendi","","","1","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group D","2015-09-26 16:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Indoor-Sportcentrum Eindhoven, Eindhoven","https://women.volleybox.net/tr/indoor-sportcentrum-eindhoven-a558/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/czech-republic-romania-c900","","","9 yıl önce önce  tarafından eklendi","","","","sait864","https://women.volleybox.net/tr/user/sait864"
",  Group D","2015-09-27 19:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Indoor-Sportcentrum Eindhoven, Eindhoven","https://women.volleybox.net/tr/indoor-sportcentrum-eindhoven-a558/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/czech-republic-serbia-c915","","","9 yıl önce önce  tarafından eklendi","","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
",  Group D","2015-09-28 18:00","Avrupa Şampiyonası 2015","https://women.volleybox.net/tr/women-european-championships-2015-o927/matches","Indoor-Sportcentrum Eindhoven, Eindhoven","https://women.volleybox.net/tr/indoor-sportcentrum-eindhoven-a558/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/germany-czech-republic-c916","","","9 yıl önce önce  tarafından eklendi","","","","przemek16","https://women.volleybox.net/tr/user/przemek16"
