"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","rank_admin","rank_admin href"
",  Group C2","2017-07-08 16:35","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/puerto-rico-czech-republic-c6147","",""
",  Group C2","2017-07-09 20:05","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Coliseo Cerrado de Chiclayo, Chiclayo","https://women.volleybox.net/tr/coliseo-cerrado-de-chiclayo-a671/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/peru-czech-republic-c6164","",""
",  Group F2","2017-07-15 00:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 2","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/czech-republic-bulgaria-c6265","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group F2","2017-07-16 03:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/puerto-rico-czech-republic-c6268","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group F2","2017-07-16 22:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/czech-republic-canada-c6269","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group G2","2017-07-22 06:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Richmond Olympic Oval, Richmond","https://women.volleybox.net/tr/richmond-olympic-oval-a771/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/peru-czech-republic-c6232","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group G2","2017-07-23 01:05","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Richmond Olympic Oval, Richmond","https://women.volleybox.net/tr/richmond-olympic-oval-a771/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/czech-republic-germany-c6234","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group G2","2017-07-23 22:40","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Richmond Olympic Oval, Richmond","https://women.volleybox.net/tr/richmond-olympic-oval-a771/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/canada-czech-republic-c6235","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Semi-Final (Group 2)","2017-07-29 20:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Winter Stadium Sareza, Ostrava","https://women.volleybox.net/tr/winter-stadium-sareza-a468/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/czech-republic-poland-c6272","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  3rd place match (Group 2)","2017-07-30 17:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Winter Stadium Sareza, Ostrava","https://women.volleybox.net/tr/winter-stadium-sareza-a468/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/germany-czech-republic-c6373","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
