"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_editor","rank_editor href","rank_user"
",  Group A","2019-05-29 17:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Mestska Hala Vodova, Brno","https://women.volleybox.net/tr/mestska-hala-vodova-a744/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","2 : 3","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","Slovakya","https://women.volleybox.net/tr/czech-republic-slovakia-c15832","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit",""
",  Group A","2019-06-01 17:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Mestska Hala Vodova, Brno","https://women.volleybox.net/tr/mestska-hala-vodova-a744/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 1","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/upload/teams/nt_flag_Ukraine.png","Ukrayna","https://women.volleybox.net/tr/czech-republic-ukraine-c15835","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit",""
",  Group A","2019-06-08 17:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Palace of Sports Yunost, Zaporizhya","https://women.volleybox.net/tr/palace-of-sports-yunost-a1106/matches","Ukrayna","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/ukraine-czech-republic-c15837","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit",""
",  Group A","2019-06-12 21:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Mestská Športová Hala, Humenné","https://women.volleybox.net/tr/mestska-sportova-hala-a1406/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/slovakia-czech-republic-c15838","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit",""
",  Group A","2019-06-15 19:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Jablonec nad Nisou, Jablonec nad Nisou","https://women.volleybox.net/tr/jablonec-nad-nisou-a1407/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/sweden-t1198/matches","https://volleybox.net/media/img/light-px.png","İsveç","https://women.volleybox.net/tr/czech-republic-sweden-c15840","6 yıl önce önce  tarafından eklendi","uwit","https://women.volleybox.net/tr/user/uwit",""
",  semi-final","2019-06-21 17:00","Avrupa Altın Ligi 2019","https://women.volleybox.net/tr/women-european-golden-league-2019-o8437/matches","Gradska Sportska Dvorana, Varaždin","https://women.volleybox.net/tr/gradska-sportska-dvorana-a4283/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/img/light-px.png","Belarus","https://women.volleybox.net/tr/czech-republic-belarus-c16464","5 yıl önce önce  tarafından eklendi","","","S…k"
",  Group A","2019-06-28 04:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/croatia-czech-republic-c16552","5 yıl önce önce  tarafından eklendi","","","S…k"
",  Group A","2019-06-29 04:00","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/czech-republic-peru-c16553","5 yıl önce önce  tarafından eklendi","","","S…k"
",  semi-final","2019-06-30 01:10","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/czech-republic-argentina-c16582","5 yıl önce önce  tarafından eklendi","","","S…k"
",  final","2019-07-01","Challenger Cup 2019","https://women.volleybox.net/tr/women-challenger-cup-2019-o9387/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/czech-republic-canada-c16585","5 yıl önce önce  tarafından eklendi","","","S…k"
