"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies","show_movies href","show_movies 2","rank_editor","rank_editor href","rank_user href"
",  Group B","2019-08-03 10:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/turkey-czech-republic-c176655","2 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  Group B","2019-08-04 10:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","0 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","Almanya","https://women.volleybox.net/tr/czech-republic-germany-c176657","2 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  Group F","2021-05-06 19:40","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Daugavpils Olimpiskais centrs, Daugavpils","https://women.volleybox.net/tr/daugavpils-olimpiskais-centrs-a882/matches","Letonya","https://women.volleybox.net/tr/latvia-t958/matches","https://volleybox.net/media/upload/teams/nt_flag_Latvia.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/latvia-czech-republic-c67662","4 yıl önce önce  tarafından eklendi","","38","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=39225","3","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group F","2021-05-07 16:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Daugavpils Olimpiskais centrs, Daugavpils","https://women.volleybox.net/tr/daugavpils-olimpiskais-centrs-a882/matches","Bosna Hersek","https://women.volleybox.net/tr/bosnia-and-herzegovina-t718/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bosnia-and-herzegovina-czech-republic-c67663","4 yıl önce önce  tarafından eklendi","","42","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=39226","1","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group F","2021-05-08 16:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Daugavpils Olimpiskais centrs, Daugavpils","https://women.volleybox.net/tr/daugavpils-olimpiskais-centrs-a882/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","Slovenya","https://women.volleybox.net/tr/czech-republic-slovenia-c67665","4 yıl önce önce  tarafından eklendi","","42","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=39228","1","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group F","2021-05-14 21:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Gradska Arena Husejin Smajlović, Zenica","https://women.volleybox.net/tr/gradska-arena-husejin-smajlovic-a2731/matches","Bosna Hersek","https://women.volleybox.net/tr/bosnia-and-herzegovina-t718/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bosnia-and-herzegovina-czech-republic-c67668","4 yıl önce önce  tarafından eklendi","","43","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=39165","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group F","2021-05-15 18:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Gradska Arena Husejin Smajlović, Zenica","https://women.volleybox.net/tr/gradska-arena-husejin-smajlovic-a2731/matches","Slovenya","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/slovenia-czech-republic-c67669","4 yıl önce önce  tarafından eklendi","","41","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=39166","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group F","2021-05-16 18:00","Avrupa Şampiyonası Elemeleri 2021","https://women.volleybox.net/tr/women-european-championship-qualification-2021-o18890/matches","Gradska Arena Husejin Smajlović, Zenica","https://women.volleybox.net/tr/gradska-arena-husejin-smajlovic-a2731/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/latvia-t958/matches","https://volleybox.net/media/img/light-px.png","Letonya","https://women.volleybox.net/tr/czech-republic-latvia-c67671","4 yıl önce önce  tarafından eklendi","","40","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=39168","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group C","2021-05-29 17:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c71794","4 yıl önce önce  tarafından eklendi","","27","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40327","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
",  Group C","2021-05-30 20:00","Avrupa Altın Ligi 2021","https://women.volleybox.net/tr/women-european-golden-league-2021-o19380/matches","Arena Sparta Podvinný Mlýn, Praha","https://women.volleybox.net/tr/arena-sparta-podvinny-mlyn-a1390/matches","Macaristan","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/hungary-czech-republic-c71795","4 yıl önce önce  tarafından eklendi","","28","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=40325","","bpeter0228","https://women.volleybox.net/tr/user/bpeter0228",""
