"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","connected_by","rank_moderator","rank_moderator href","rank_user","show_movies","show_movies href","show_movies 2","show_movies 3"
",  Group B","2022-06-01 18:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Mestská ŠH Nitra, Nitra","https://women.volleybox.net/tr/mestska-sh-nitra-a819/matches","Slovakya","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/slovakia-czech-republic-c114465","46","3 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","","","","",""
",  Group B","2022-06-04 20:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","KV Arena, Karlovy Vary","https://women.volleybox.net/tr/kv-arena-a115/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 1","https://women.volleybox.net/tr/slovakia-t1171/matches","https://volleybox.net/media/upload/teams/nt_flag_Slovakia.png","Slovakya","https://women.volleybox.net/tr/czech-republic-slovakia-c114472","49","3 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","","","","",""
",  Group B","2022-06-11 20:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Sportovní Hala Euronics, Zlin","https://women.volleybox.net/tr/sportovni-hala-euronics-a596/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","1 : 3","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","Hırvatistan","https://women.volleybox.net/tr/czech-republic-croatia-c114474","52","3 yıl önce önce  tarafından eklendi","pedeshtrian","https://women.volleybox.net/tr/user/pedeshtrian","","","","",""
",  semi-final","2022-06-16 19:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Sport Centrum Prostejov, Prostejov","https://women.volleybox.net/tr/sport-centrum-prostejov-a118/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/czech-republic-romania-c116778","38","3 yıl önce önce  tarafından eklendi","","","S…k","","","",""
",  final","2022-06-19 19:00","Avrupa Altın Ligi 2022","https://women.volleybox.net/tr/women-european-golden-league-2022-o23255/matches","Palais des sports d'Orléans, Orléans","https://women.volleybox.net/tr/palais-des-sports-dorleans-a3471/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/france-czech-republic-c117241","43","3 yıl önce önce  tarafından eklendi","Tonton_Bastos","https://women.volleybox.net/tr/user/Tonton_Bastos","","","","",""
",  quarterfinal","2022-07-28 19:00","Challenger Cup 2022","https://women.volleybox.net/tr/women-challenger-cup-2022-o23203/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/belgium-czech-republic-c123899","","2 yıl önce önce  tarafından eklendi","","","Adrian HS","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256523245","2",""
",  Group D","2022-09-24 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/brazil-czech-republic-c113262","140","3 yıl önce önce  tarafından eklendi","","","I…Y","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540349","1","2"
",  Group D","2022-09-26 15:15","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/japan-argentina-c113265","139","3 yıl önce önce  tarafından eklendi","","","I…Y","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540601","2","3"
",  Group D","2022-09-28 19:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/argentina-colombia-c113270","137","3 yıl önce önce  tarafından eklendi","","","I…Y","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541254","1","2"
",  Group D","2022-09-30 15:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/china-czech-republic-c113271","144","3 yıl önce önce  tarafından eklendi","","","I…Y","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256542036","2","1"
