"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 3","connected_by","rank_user","rank_user href"
",  Group A","2023-09-17 05:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/netherlands-czech-republic-c190926","73","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-qualifying-tournament/schedule/16646/","2","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14"
",  Group A","2023-09-19 14:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/china-czech-republic-c190933","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624288","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14"
",  Group A","2023-09-20 11:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/serbia-czech-republic-c190936","80","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624575","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14"
",  Group A","2023-09-22 11:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/czech-republic-mexico-c190940","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625508","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14"
",  Group A","2023-09-23 05:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/ukraine-t1246/matches","https://volleybox.net/media/img/light-px.png","Ukrayna","https://women.volleybox.net/tr/czech-republic-ukraine-c190942","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625970","3","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14"
",  Group A","2023-09-24 08:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/canada-czech-republic-c190947","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626394","1","1 yıl önce önce  tarafından eklendi","yusuf_kucuk_14","https://women.volleybox.net/tr/user/yusuf_kucuk_14"
",  1st Round - Group D","2024-05-16 18:00","Avrupa Altın Ligi 2024","https://women.volleybox.net/tr/women-european-golden-league-2024-o32300/matches","O2 Arena, Prague","https://women.volleybox.net/tr/o2-arena-a117/matches","Avusturya","https://women.volleybox.net/tr/austria-t679/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/austria-czech-republic-c213108","37","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=72252","","1 yıl önce önce  tarafından eklendi","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  1st Round - Group D","2024-05-18 18:00","Avrupa Altın Ligi 2024","https://women.volleybox.net/tr/women-european-golden-league-2024-o32300/matches","O2 Arena, Prague","https://women.volleybox.net/tr/o2-arena-a117/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/czech-republic-romania-c213110","41","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=72254","","1 yıl önce önce  tarafından eklendi","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  2nd round - Group C","2024-05-25 20:00","Avrupa Altın Ligi 2024","https://women.volleybox.net/tr/women-european-golden-league-2024-o32300/matches","Arena Stožice, Ljubljana","https://women.volleybox.net/tr/arena-stozice-a403/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/czech-republic-spain-c213118","46","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=72262","","1 yıl önce önce  tarafından eklendi","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
",  2nd round - Group C","2024-05-26 20:00","Avrupa Altın Ligi 2024","https://women.volleybox.net/tr/women-european-golden-league-2024-o32300/matches","Arena Stožice, Ljubljana","https://women.volleybox.net/tr/arena-stozice-a403/matches","Slovenya","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/slovenia-czech-republic-c213119","47","1","https://www-old.cev.eu/Competition-Area/MatchStatistics.aspx?ID=72263","","1 yıl önce önce  tarafından eklendi","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen"
