"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","connected_by","rank_user","rank_user href","rank_moderator","rank_moderator href","rank_newbie","rank_newbie href"
",  Week One","2025-06-07 03:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 2","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/czech-republic-usa-c281477","102","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256752252.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T030411Z&X-Amz-SignedHeaders=host&X-Amz-Signature=b2bb75f411605a2551d449b6ba1fe23330228c4b3164aab11310442f59b6d721","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-07 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/south-korea-czech-republic-c281479","99","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753309.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T095310Z&X-Amz-SignedHeaders=host&X-Amz-Signature=a437adae64705d07102adeed9a8ef54a27e5ed7193d415112108d749838e2bde","4 ay önce önce  tarafından eklendi","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-08 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Ginásio do Maracanãzinho, Rio de Janeiro","https://women.volleybox.net/tr/ginasio-do-maracanazinho-a72/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/czech-republic-germany-c299802","81","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753823.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T215024Z&X-Amz-SignedHeaders=host&X-Amz-Signature=8e684fcc6f3a2d88b58d0915f6c5aa41f4edbc115adb77c91bf18aba0cbed150","1 hafta önce önce  tarafından eklendi","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins","",""
",  Week Two","2025-06-18 15:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/czech-republic-china-c300078","56","","","2 gün önce önce  tarafından eklendi","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Two","2025-06-20 12:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-czech-republic-c300087","33","","","2 gün önce önce  tarafından eklendi","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Two","2025-06-21 11:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/czech-republic-thailand-c300093","29","","","2 gün önce önce  tarafından eklendi","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Two","2025-06-22 11:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Kai Tak Arena, Hong Kong","https://women.volleybox.net/tr/kai-tak-sports-park-indoor-sports-centre-a8717/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/czech-republic-japan-c300115","26","","","1 gün önce önce  tarafından eklendi","","","","","Michał","https://women.volleybox.net/tr/user/michal9408"
",  Week Three","2025-07-11 21:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/czech-republic-turkey-c300059","27","","","2 gün önce önce  tarafından eklendi","Norwen","https://women.volleybox.net/tr/user/Norwen","","","",""
",  Group D","2025-08-22 12:00","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/czech-republic-argentina-c289051","10","","","3 ay önce önce  tarafından eklendi","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins","",""
",  Group D","2025-08-24 12:00","Dünya Şampiyonası 2025","https://women.volleybox.net/tr/women-world-championships-2025-o33840/matches","Korat Chatchai Hall, Nakhon Ratchasima","https://women.volleybox.net/tr/korat-chatchai-hall-a1058/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","Slovenya","https://women.volleybox.net/tr/czech-republic-slovenia-c289073","9","","","3 ay önce önce  tarafından eklendi","","","Utku Günçe","https://women.volleybox.net/tr/user/SevenSins","",""
