"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies href","rank_moderator","rank_moderator href","rank_admin","rank_admin href"
",  Group B","2017-06-19 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Şili","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/upload/teams/nt_flag_Chile.png","0 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/chile-dominican-republic-c185559","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group B","2017-06-20 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/dominican-republic-canada-c185562","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group B","2017-06-21 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/dominican-republic-cuba-c185565","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group B","2017-06-22 03:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/peru-dominican-republic-c185569","1 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  semi-final","2017-06-25 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/dominican-republic-puerto-rico-c6079","7 yıl önce önce  tarafından eklendi","Airton Neto","","","","","",""
",  final","2017-06-26 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/usa-dominican-republic-c6092","7 yıl önce önce  tarafından eklendi","Airton Neto","","","","","",""
",  Group C1","2017-07-07 18:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/netherlands-dominican-republic-c6130","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-013.pdf","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group C1","2017-07-08 21:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/dominican-republic-japan-c6133","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-016.pdf","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group C1","2017-07-09 21:30","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/thailand-dominican-republic-c6157","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-018.pdf","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group F1","2017-07-14 20:10","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/russia-dominican-republic-c6220","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-032.pdf","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group F1","2017-07-15 17:40","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/netherlands-dominican-republic-c6222","7 yıl önce önce  tarafından eklendi","","1","http://www.fivb.org/vis_web/volley/WGP2017a/WGP2017a_p2-033.pdf","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
