"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_predictions","show_movies","show_movies href","rank_user","rank_user href","show_movies 2","rank_newbie","rank_newbie href","rank_moderator","rank_moderator href"
",  Round Robin","2024-07-18 12:00","Memoriał Agaty Mróz-Olszewskiej 2024/25","https://women.volleybox.net/tr/women-memorial-agaty-mroz-olszewskiej-2024-25-o35482/matches","MOSiR Hall, Mielec","https://women.volleybox.net/tr/mosir-hall-a329/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/dominican-republic-serbia-c242139","10 ay önce önce  tarafından eklendi","","","","","","","","","",""
",  Round Robin","2024-07-19 12:00","Memoriał Agaty Mróz-Olszewskiej 2024/25","https://women.volleybox.net/tr/women-memorial-agaty-mroz-olszewskiej-2024-25-o35482/matches","MOSiR Hall, Mielec","https://women.volleybox.net/tr/mosir-hall-a329/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 0","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/upload/teams/nt_flag_France.png","Fransa","https://women.volleybox.net/tr/dominican-republic-france-c242145","10 ay önce önce  tarafından eklendi","","","","","","","","","",""
",  Week One","2025-06-04 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 2","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","Sırbistan","https://women.volleybox.net/tr/dominican-republic-serbia-c281020","4 ay önce önce  tarafından eklendi","109","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256750317.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250605%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250605T054030Z&X-Amz-SignedHeaders=host&X-Amz-Signature=fa2a5aa1800a9b2e6477d662c7d6b71abd29d70ed37f2809f78c48606e140a9d","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","","",""
",  Week One","2025-06-05 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-dominican-republic-c281022","4 ay önce önce  tarafından eklendi","109","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751195.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T021216Z&X-Amz-SignedHeaders=host&X-Amz-Signature=4845ac3937d00f57b73d4b63badc2e2614552c3ee30605489cb9923d056fa398","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","2","","","",""
",  Week One","2025-06-06 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/dominican-republic-netherlands-c281026","4 ay önce önce  tarafından eklendi","102","1","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256752223.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T020615Z&X-Amz-SignedHeaders=host&X-Amz-Signature=7e3d98edc43ce57cb3782ac31db0d0729fd8ced7e3018dcd1956022aca318f36","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","","",""
",  Week One","2025-06-08 18:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/dominican-republic-japan-c281028","4 ay önce önce  tarafından eklendi","103","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256753778","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","4","","","",""
",  Week Two","2025-06-18 19:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/turkey-dominican-republic-c300054","2 gün önce önce  tarafından eklendi","54","","","Norwen","https://women.volleybox.net/tr/user/Norwen","2","","","",""
",  Week Two","2025-06-19 16:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/belgium-dominican-republic-c300084","2 gün önce önce  tarafından eklendi","40","","","","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-21 16:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/dominican-republic-brazil-c300095","2 gün önce önce  tarafından eklendi","29","","","","","1","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-22 16:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Sinan Erdem Spor Salonu, Istanbul","https://women.volleybox.net/tr/sinan-erdem-spor-salonu-a7302/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/south-korea-dominican-republic-c300119","1 gün önce önce  tarafından eklendi","25","","","","","1","Michał","https://women.volleybox.net/tr/user/michal9408","",""
