"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","rank_newbie","rank_newbie href"
",  Zone 5","2015-04-22 19:30","Afrika Oyunları için Yeterlilik 2015","https://women.volleybox.net/tr/women-african-games-qualification-2015-o35778/matches","MTN Arena, Kampala","https://women.volleybox.net/tr/mtn-arena-a8006/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/ethiopia-t826/matches","https://volleybox.net/media/upload/teams/nt_flag_Ethiopia.png","Etiyopya","https://women.volleybox.net/tr/kenya-ethiopia-c246375","10 ay önce önce  tarafından eklendi","","","","","",""
",  Zone 5","2015-04-24 17:00","Afrika Oyunları için Yeterlilik 2015","https://women.volleybox.net/tr/women-african-games-qualification-2015-o35778/matches","MTN Arena, Kampala","https://women.volleybox.net/tr/mtn-arena-a8006/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/burundi-t8599/matches","https://volleybox.net/media/upload/teams/15644082814QdGL.png","Burundi","https://women.volleybox.net/tr/kenya-burundi-c246378","10 ay önce önce  tarafından eklendi","","","","","",""
",  Zone 5","2015-04-25 19:30","Afrika Oyunları için Yeterlilik 2015","https://women.volleybox.net/tr/women-african-games-qualification-2015-o35778/matches","MTN Arena, Kampala","https://women.volleybox.net/tr/mtn-arena-a8006/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/uganda-t1243/matches","https://volleybox.net/media/upload/teams/nt_flag_Uganda.png","Uganda","https://women.volleybox.net/tr/kenya-uganda-c246381","10 ay önce önce  tarafından eklendi","","","","","",""
",  Group A","2015-06-12 06:00","Afrika Kadınlar Şampiyonası 2015","https://women.volleybox.net/tr/women-african-championships-2015-o5362/matches","Kasarani Indoor Arena, Nairobi","https://women.volleybox.net/tr/kasarani-indoor-arena-a6516/matches","Mauritius","https://women.volleybox.net/tr/mauritius-t1015/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/mauritius-kenya-c187495","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","","",""
",  Group A","2015-06-14 06:00","Afrika Kadınlar Şampiyonası 2015","https://women.volleybox.net/tr/women-african-championships-2015-o5362/matches","Kasarani Indoor Arena, Nairobi","https://women.volleybox.net/tr/kasarani-indoor-arena-a6516/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/img/light-px.png","Cezayir","https://women.volleybox.net/tr/kenya-algeria-c187498","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","","",""
",  Group A","2015-06-15 06:00","Afrika Kadınlar Şampiyonası 2015","https://women.volleybox.net/tr/women-african-championships-2015-o5362/matches","Kasarani Indoor Arena, Nairobi","https://women.volleybox.net/tr/kasarani-indoor-arena-a6516/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/botswana-t721/matches","https://volleybox.net/media/img/light-px.png","Botswana","https://women.volleybox.net/tr/kenya-botswana-c187500","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","","",""
",  semi-final","2015-06-17 06:00","Afrika Kadınlar Şampiyonası 2015","https://women.volleybox.net/tr/women-african-championships-2015-o5362/matches","Kasarani Indoor Arena, Nairobi","https://women.volleybox.net/tr/kasarani-indoor-arena-a6516/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","Kamerun","https://women.volleybox.net/tr/kenya-cameroon-c187512","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","","",""
",  final","2015-06-19 06:00","Afrika Kadınlar Şampiyonası 2015","https://women.volleybox.net/tr/women-african-championships-2015-o5362/matches","Kasarani Indoor Arena, Nairobi","https://women.volleybox.net/tr/kasarani-indoor-arena-a6516/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/img/light-px.png","Cezayir","https://women.volleybox.net/tr/kenya-algeria-c187514","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","","",""
",  Group O","2015-06-26 14:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Gimnasio Nuevo León, Monterry","https://women.volleybox.net/tr/gimnasio-nuevo-leon-a3248/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/kenya-peru-c63152","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-007.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group O","2015-06-27 15:40","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Gimnasio Nuevo León, Monterry","https://women.volleybox.net/tr/gimnasio-nuevo-leon-a3248/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/mexico-kenya-c63155","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-010.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
