"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","show_predictions"
",  Group B","2019-07-10 06:00","Afrika Kadınlar Şampiyonası 2019","https://women.volleybox.net/tr/women-african-championships-2019-o9456/matches","6 October Sports Hall, 6th October City","https://women.volleybox.net/tr/6-october-sports-hall-a5409/matches","Botswana","https://women.volleybox.net/tr/botswana-t721/matches","https://volleybox.net/media/upload/teams/nt_flag_Botswana.png","0 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","Kenya","https://women.volleybox.net/tr/botswana-kenya-c187461","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","",""
",  Group B","2019-07-11 06:00","Afrika Kadınlar Şampiyonası 2019","https://women.volleybox.net/tr/women-african-championships-2019-o9456/matches","6 October Sports Hall, 6th October City","https://women.volleybox.net/tr/6-october-sports-hall-a5409/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 2","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/upload/teams/nt_flag_Cameroon.png","Kamerun","https://women.volleybox.net/tr/kenya-cameroon-c187464","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","1","https://women.volleybox.net/tr/frame/match_report/0/78758",""
",  semi-final","2019-07-12 06:00","Afrika Kadınlar Şampiyonası 2019","https://women.volleybox.net/tr/women-african-championships-2019-o9456/matches","6 October Sports Hall, 6th October City","https://women.volleybox.net/tr/6-october-sports-hall-a5409/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/senegal-t1156/matches","https://volleybox.net/media/upload/teams/nt_flag_Senegal.png","Senegal","https://women.volleybox.net/tr/kenya-senegal-c187468","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","",""
",  final","2019-07-13 06:00","Afrika Kadınlar Şampiyonası 2019","https://women.volleybox.net/tr/women-african-championships-2019-o9456/matches","6 October Sports Hall, 6th October City","https://women.volleybox.net/tr/6-october-sports-hall-a5409/matches","Kamerun","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/cameroon-kenya-c187470","1 yıl önce önce  tarafından eklendi","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","",""
",  Group B","2019-08-24 16:00","Afrika Oyunları 2019","https://women.volleybox.net/tr/women-african-games-2019-o9502/matches","Salle El Bouâzzaoui, Salé","https://women.volleybox.net/tr/salle-el-bouazzaoui-a1595/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","Kamerun","https://women.volleybox.net/tr/kenya-cameroon-c19068","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group B","2019-08-26 16:00","Afrika Oyunları 2019","https://women.volleybox.net/tr/women-african-games-2019-o9502/matches","Salle El Bouâzzaoui, Salé","https://women.volleybox.net/tr/salle-el-bouazzaoui-a1595/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/senegal-t1156/matches","https://volleybox.net/media/img/light-px.png","Senegal","https://women.volleybox.net/tr/senegal-kenya-c19071","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  semi-final","2019-08-28 16:00","Afrika Oyunları 2019","https://women.volleybox.net/tr/women-african-games-2019-o9502/matches","Salle El Bouâzzaoui, Salé","https://women.volleybox.net/tr/salle-el-bouazzaoui-a1595/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/nigeria-t1075/matches","https://volleybox.net/media/img/light-px.png","Nijerya","https://women.volleybox.net/tr/nigeria-kenya-c19115","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  final","2019-08-30 18:00","Afrika Oyunları 2019","https://women.volleybox.net/tr/women-african-games-2019-o9502/matches","Salle El Bouâzzaoui, Salé","https://women.volleybox.net/tr/salle-el-bouazzaoui-a1595/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","Kamerun","https://women.volleybox.net/tr/kenya-cameroon-c19223","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Round Robin","2019-09-14 05:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Hamamatsu Arena, Hamamatsu","https://women.volleybox.net/tr/hamamatsu-arena-a260/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/usa-kenya-c19521","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256224868","26"
",  Round Robin","2019-09-15 05:00","Dünya Kupası 2019","https://women.volleybox.net/tr/women-fivb-world-cup-2019-o8362/matches","Hamamatsu Arena, Hamamatsu","https://women.volleybox.net/tr/hamamatsu-arena-a260/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/kenya-netherlands-c19524","5 yıl önce önce  tarafından eklendi","Airton Neto","https://women.volleybox.net/tr/user/airton13","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256225007","27"
