"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_predictions","show_movies","show_movies href","show_movies 2","rank_editor","rank_editor href"
",  Group E","2019-08-03 19:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","Kenya","https://women.volleybox.net/tr/netherlands-kenya-c176679","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group E","2019-08-04 19:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","0 : 3","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","Belçika","https://women.volleybox.net/tr/kenya-belgium-c176681","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  1st round","2020-01-06 12:00","Afrika Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-african-olympic-qualification-2021-o9753/matches","Paposy, Yaoundé","https://women.volleybox.net/tr/paposy-a774/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 1","https://women.volleybox.net/tr/egypt-t811/matches","https://volleybox.net/media/upload/teams/nt_flag_Egypt.png","Mısır","https://women.volleybox.net/tr/kenya-egypt-c25664","5 yıl önce önce  tarafından eklendi","S…k","","","","","",""
",  2nd round","2020-01-06 18:00","Afrika Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-african-olympic-qualification-2021-o9753/matches","Paposy, Yaoundé","https://women.volleybox.net/tr/paposy-a774/matches","Botswana","https://women.volleybox.net/tr/botswana-t721/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/botswana-kenya-c25666","5 yıl önce önce  tarafından eklendi","S…k","","","","","",""
",  3rd round","2020-01-07 21:00","Afrika Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-african-olympic-qualification-2021-o9753/matches","Paposy, Yaoundé","https://women.volleybox.net/tr/paposy-a774/matches","Kamerun","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/cameroon-kenya-c25669","5 yıl önce önce  tarafından eklendi","S…k","","","","","",""
",  5th round","2020-01-09 18:00","Afrika Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-african-olympic-qualification-2021-o9753/matches","Paposy, Yaoundé","https://women.volleybox.net/tr/paposy-a774/matches","Nijerya","https://women.volleybox.net/tr/nigeria-t1075/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/nigeria-kenya-c25672","5 yıl önce önce  tarafından eklendi","S…k","","","","","",""
",  Group A","2021-07-25 13:40","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/japan-kenya-c39808","4 yıl önce önce  tarafından eklendi","","72","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256318355","1","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2021-07-27 15:45","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/south-korea-kenya-c40158","4 yıl önce önce  tarafından eklendi","","75","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256318591","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2021-07-29 08:20","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/serbia-kenya-c40160","4 yıl önce önce  tarafından eklendi","","73","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256318826","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
",  Group A","2021-07-31 03:00","Olimpiyat Oyunları 2021","https://women.volleybox.net/tr/women-the-olympics-2021-o8363/matches","Ariake Arena, Tokyo","https://women.volleybox.net/tr/ariake-arena-a280/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/dominican-republic-kenya-c40161","4 yıl önce önce  tarafından eklendi","","74","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256319340","","sitenoise","https://women.volleybox.net/tr/user/sitenoise"
