"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_newbie","rank_newbie href","rank_user","rank_user href","show_predictions","show_movies","show_movies href"
",  Group B","2024-03-16 17:00","Afrika Oyunları 2024","https://women.volleybox.net/tr/women-african-games-2024-o32811/matches","Borteyman Sports Complex, Accra","https://women.volleybox.net/tr/borteyman-sports-complex-a7330/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/nigeria-t1075/matches","https://volleybox.net/media/upload/teams/nt_flag_Nigeria.png","Nijerya","https://women.volleybox.net/tr/nigeria-kenya-c222721","1 yıl önce önce  tarafından eklendi","Efi Papaioannou","https://women.volleybox.net/tr/user/TheMeawads","","","","",""
",  Group B","2024-03-18 17:00","Afrika Oyunları 2024","https://women.volleybox.net/tr/women-african-games-2024-o32811/matches","Borteyman Sports Complex, Accra","https://women.volleybox.net/tr/borteyman-sports-complex-a7330/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/congo-the-democratic-republic-of-the-t772/matches","https://volleybox.net/media/upload/teams/nt_flag_Congo_The_Democratic_Republic_of_the.png","Kongo Demokratik Cumhuriyeti","https://women.volleybox.net/tr/congo-the-democratic-republic-of-the-kenya-c222725","1 yıl önce önce  tarafından eklendi","Efi Papaioannou","https://women.volleybox.net/tr/user/TheMeawads","","","","",""
",  Group B","2024-03-19 19:00","Afrika Oyunları 2024","https://women.volleybox.net/tr/women-african-games-2024-o32811/matches","Borteyman Sports Complex, Accra","https://women.volleybox.net/tr/borteyman-sports-complex-a7330/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/upload/teams/nt_flag_Algeria.png","Cezayir","https://women.volleybox.net/tr/kenya-algeria-c222728","1 yıl önce önce  tarafından eklendi","Efi Papaioannou","https://women.volleybox.net/tr/user/TheMeawads","","","","",""
",  quarterfinal","2024-03-21 15:00","Afrika Oyunları 2024","https://women.volleybox.net/tr/women-african-games-2024-o32811/matches","Borteyman Sports Complex, Accra","https://women.volleybox.net/tr/borteyman-sports-complex-a7330/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/gambia-t847/matches","https://volleybox.net/media/img/light-px.png","Gambiya","https://women.volleybox.net/tr/kenya-gambia-c223563","1 yıl önce önce  tarafından eklendi","","","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","",""
",  semi-final","2024-03-22 15:00","Afrika Oyunları 2024","https://women.volleybox.net/tr/women-african-games-2024-o32811/matches","Borteyman Sports Complex, Accra","https://women.volleybox.net/tr/borteyman-sports-complex-a7330/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/egypt-t811/matches","https://volleybox.net/media/img/light-px.png","Mısır","https://women.volleybox.net/tr/kenya-egypt-c223673","1 yıl önce önce  tarafından eklendi","Efi Papaioannou","https://women.volleybox.net/tr/user/TheMeawads","","","","",""
",  3rd place match","2024-03-23 13:00","Afrika Oyunları 2024","https://women.volleybox.net/tr/women-african-games-2024-o32811/matches","Borteyman Sports Complex, Accra","https://women.volleybox.net/tr/borteyman-sports-complex-a7330/matches","Gana","https://women.volleybox.net/tr/ghana-t856/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/ghana-kenya-c223778","1 yıl önce önce  tarafından eklendi","","","ianverdan","https://women.volleybox.net/tr/user/ianverdan","","",""
",  quarterfinal","2024-07-04 10:00","Challenger Cup 2024","https://women.volleybox.net/tr/women-challenger-cup-2024-o30099/matches","Ninoy Aquino Stadium, Manilla","https://women.volleybox.net/tr/ninoy-aquino-stadium-a1786/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/puerto-rico-kenya-c236043","11 ay önce önce  tarafından eklendi","","","Belgium","https://women.volleybox.net/tr/user/BelgianVolleyWomen","26","",""
",  Group B","2024-07-29 14:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/brazil-kenya-c236699","11 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","","","97","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19090/"
",  Group B","2024-07-31 22:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/poland-kenya-c236703","11 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","","","100","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19094/"
",  Group B","2024-08-03 14:00","Olimpiyat Oyunları 2024","https://women.volleybox.net/tr/women-the-olympics-2024-o30223/matches","Arena Paris Sud, Paris","https://women.volleybox.net/tr/arena-paris-sud-a7767/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/japan-kenya-c236709","11 ay önce önce  tarafından eklendi","Iran Chen","https://women.volleybox.net/tr/user/Ar-Ian","","","101","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/schedule/19100/"
