"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_moderator","rank_moderator href","rank_admin","rank_admin href"
",  Group A","2017-06-19 03:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","0 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/mexico-puerto-rico-c185545","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2017-06-20 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Venezuela","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/upload/teams/nt_flag_Venezuela.png","3 : 2","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","Meksika","https://women.volleybox.net/tr/venezuela-mexico-c185547","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2017-06-21 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/mexico-usa-c185550","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group A","2017-06-22 01:01","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Lolo Fernández, San Vicente de Cañete","https://women.volleybox.net/tr/coliseo-lolo-fernandez-a838/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/colombia-mexico-c185553","1 yıl önce önce  tarafından eklendi","J…e","","","",""
",  11th place match","2017-06-23 22:00","Pan American Cup 2017","https://women.volleybox.net/tr/women-pan-american-cup-2017-o3875/matches","Coliseo Manuel Bonilla, Lima","https://women.volleybox.net/tr/coliseo-manuel-bonilla-a704/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chile-t757/matches","https://volleybox.net/media/img/light-px.png","Şili","https://women.volleybox.net/tr/mexico-chile-c6084","7 yıl önce önce  tarafından eklendi","Airton Neto","","","",""
",  Group A3","2017-07-07 21:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gimnasio Olimpico Aguascalientes, Aguascalientes City","https://women.volleybox.net/tr/gimnasio-olimpico-aguascalientes-a773/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","Avustralya","https://women.volleybox.net/tr/mexico-australia-c6150","7 yıl önce önce  tarafından eklendi","","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group A3","2017-07-08 21:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gimnasio Olimpico Aguascalientes, Aguascalientes City","https://women.volleybox.net/tr/gimnasio-olimpico-aguascalientes-a773/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","Trinidad ve Tobago","https://women.volleybox.net/tr/mexico-trinidad-and-tobago-c6152","7 yıl önce önce  tarafından eklendi","","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group A3","2017-07-09 21:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Gimnasio Olimpico Aguascalientes, Aguascalientes City","https://women.volleybox.net/tr/gimnasio-olimpico-aguascalientes-a773/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/mexico-hungary-c6161","7 yıl önce önce  tarafından eklendi","","marciovolley","https://women.volleybox.net/tr/user/marciovolley","",""
",  Group C3","2017-07-14 23:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Domo José Maria Vargas, Caracas","https://women.volleybox.net/tr/domo-jose-maria-vargas-a442/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/mexico-hungary-c6182","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
",  Group C3","2017-07-16 02:00","World Grand Prix 2017","https://women.volleybox.net/tr/women-world-grand-prix-2017-o3752/matches","Domo José Maria Vargas, Caracas","https://women.volleybox.net/tr/domo-jose-maria-vargas-a442/matches","Venezuela","https://women.volleybox.net/tr/venezuela-t1267/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/venezuela-mexico-c6185","7 yıl önce önce  tarafından eklendi","","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox"
