"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_user","show_movies 2","show_movies href","rank_moderator","rank_moderator href"
",  Group E","2019-08-02 20:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","Meksika","https://women.volleybox.net/tr/russia-mexico-c176672","1","2 yıl önce önce  tarafından eklendi","J…e","","","",""
",  Group E","2019-08-04 17:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/mexico-canada-c176675","","2 yıl önce önce  tarafından eklendi","J…e","","","",""
",  1st round","2020-01-11 03:00","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 2","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/upload/teams/nt_flag_Mexico.png","Meksika","https://women.volleybox.net/tr/dominican-republic-mexico-c25696","","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  2nd round","2020-01-12","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/puerto-rico-mexico-c25697","","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  3rd round","2020-01-12 23:00","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/mexico-canada-c25699","1","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group B","2021-08-27 04:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","Trinidad ve Tobago","https://women.volleybox.net/tr/mexico-trinidad-and-tobago-c81944","","3 yıl önce önce  tarafından eklendi","","1","http://norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/P2%20MATCH%203.pdf","avid","https://women.volleybox.net/tr/user/avid"
",  Group B","2021-08-28 04:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/mexico-costa-rica-c81947","","3 yıl önce önce  tarafından eklendi","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%206%20-%20P-3%20(Match%20players%20ranking).pdf","avid","https://women.volleybox.net/tr/user/avid"
",  Group B","2021-08-29 04:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/mexico-dominican-republic-c81950","1","3 yıl önce önce  tarafından eklendi","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%209%20-%20P-3%20(Match%20players%20ranking).pdf","avid","https://women.volleybox.net/tr/user/avid"
",  quarterfinal","2021-08-30 04:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/mexico-puerto-rico-c82290","","3 yıl önce önce  tarafından eklendi","","","","",""
",  5th place match","2021-08-30 22:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/mexico-costa-rica-c82344","","3 yıl önce önce  tarafından eklendi","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%2012%20-%20P-3%20(Match%20players%20ranking).pdf","avid","https://women.volleybox.net/tr/user/avid"
