"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","rank_editor","rank_editor href","show_predictions","show_movies 2","show_movies href"
",  Group E","2019-08-03 19:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","Kenya","https://women.volleybox.net/tr/netherlands-kenya-c176679","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group E","2019-08-04 22:15","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Pala Catania, Catania","https://women.volleybox.net/tr/pala-catania-a529/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/netherlands-italy-c176682","2 yıl önce önce  tarafından eklendi","J…e","","","","","",""
",  Group A","2020-01-08 15:30","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/azerbaijan-netherlands-c25679","5 yıl önce önce  tarafından eklendi","S…k","","","","","",""
",  Group A","2020-01-08 21:30","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/bulgaria-netherlands-c25682","5 yıl önce önce  tarafından eklendi","S…k","","","","","",""
",  Group A","2020-01-09 21:30","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/netherlands-poland-c25685","5 yıl önce önce  tarafından eklendi","S…k","","","","","",""
",  semi-final","2020-01-11 17:15","Avrupa Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-european-olympic-qualification-2021-o9748/matches","Omnisports Arena, Apeldoorn","https://women.volleybox.net/tr/omnisports-arena-a300/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c26435","5 yıl önce önce  tarafından eklendi","","1","uwit","https://women.volleybox.net/tr/user/uwit","","",""
",","2021-05-19 19:00","dostluk maçı 2020/21","https://women.volleybox.net/tr/women-friendly-match-2020-21-o18272/matches","Sporthal De Basis, Sliedrecht","https://women.volleybox.net/tr/sporthal-de-basis-a907/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/netherlands-belgium-c70128","4 yıl önce önce  tarafından eklendi","","","","","","",""
",  round robin - 1st round","2021-05-25 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/netherlands-belgium-c69052","4 yıl önce önce  tarafından eklendi","","1","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou","64","1","https://cdn5.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-1-Olanda-Belgio-3-0.jpg"
",  round robin - 2nd round","2021-05-26 11:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/netherlands-germany-c69063","4 yıl önce önce  tarafından eklendi","","2","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou","66","1","https://cdn9.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-9-Olanda-Germana-2-3.jpg"
",  round robin - 3rd round","2021-05-27 13:00","Voleybol Milletler Ligi 2021","https://women.volleybox.net/tr/women-volleyball-nations-league-2021-o18228/matches","RDS Stadium, Rimini","https://women.volleybox.net/tr/rds-stadium-a3221/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/russia-netherlands-c69082","4 yıl önce önce  tarafından eklendi","","2","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou","62","1","https://cdn9.volleyball.it/wp-content/uploads/2021/05/WVNL2021-Match-18-Russia-Olanda-1-3.jpg"
