"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_user href"
",  1st round - Group B","2022-06-02 16:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/bulgaria-netherlands-c109020","57","1","https://women.volleybox.net/tr/frame/match_report/0/16611","1","3","3 yıl önce önce  tarafından eklendi","S…k",""
",  1st round - Group B","2022-06-03 16:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/netherlands-italy-c100317","63","1","https://women.volleybox.net/tr/frame/match_report/0/16623","5","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  1st round - Group B","2022-06-05 13:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/serbia-netherlands-c100323","62","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256507115","2","3","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-15","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/netherlands-germany-c100341","72","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256509708","2","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-17 03:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/netherlands-brazil-c100365","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510155","2","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-18 03:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/netherlands-dominican-republic-c100368","66","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510409","2","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  2nd round - Group A","2022-06-19 03:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/netherlands-south-korea-c100372","66","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510534","3","","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd round - Group A","2022-06-30 02:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/japan-netherlands-c100391","66","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512231","3","3","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd round - Group A","2022-06-30 23:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/turkey-netherlands-c100392","66","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512862","1","3","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
",  3rd round - Group A","2022-07-01 23:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Chief Jim Starlight Centre, Calgary","https://women.volleybox.net/tr/chief-jim-starlight-centre-a1457/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/belgium-netherlands-c100396","65","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513511","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk"
