"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_movies","show_movies 2","show_predictions","show_movies href","rank_user","rank_user href","rank_newbie","rank_newbie href","rank_moderator","rank_moderator href"
",  2nd round","2025-05-24 17:30","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/upload/teams/nt_flag_Germany.png","2 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c299061","3 hafta önce önce  tarafından eklendi","","","","","","","","","",""
",  3rd round","2025-05-25 15:00","AIA AeQuilibrium Cup 2025","https://women.volleybox.net/tr/women-aia-aequilibrium-cup-2025-o40508/matches","PalaPanini, Modena","https://women.volleybox.net/tr/palapanini-a224/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","Hollanda","https://women.volleybox.net/tr/turkey-netherlands-c299063","3 hafta önce önce  tarafından eklendi","1","1","","","","","","","",""
",  Week One","2025-06-04 18:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/netherlands-japan-c281019","4 ay önce önce  tarafından eklendi","5","1","107","https://www.fivb.org/vis2009/getdocument.asmx?no=256750527","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-06 02:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/canada-netherlands-c281023","4 ay önce önce  tarafından eklendi","","1","107","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256751220.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250606%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250606T052307Z&X-Amz-SignedHeaders=host&X-Amz-Signature=2945c56fd5f11d98eef79dc207eac493b36c3c90a62571e21fd43c89e9147c30","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-06 23:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/dominican-republic-netherlands-c281026","4 ay önce önce  tarafından eklendi","","1","102","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256752223.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250607T020615Z&X-Amz-SignedHeaders=host&X-Amz-Signature=7e3d98edc43ce57cb3782ac31db0d0729fd8ced7e3018dcd1956022aca318f36","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week One","2025-06-08 21:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","TD Place Arena, Ottawa","https://women.volleybox.net/tr/td-place-arena-a1054/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/bulgaria-netherlands-c281029","4 ay önce önce  tarafından eklendi","2","1","103","https://documents.f0c6c49f151fe911cf8b40b1c8b76870.r2.cloudflarestorage.com/256753859.pdf?X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4eadf20dca12f8519c5ece6401b4d8f0%2F20250608%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250608T215547Z&X-Amz-SignedHeaders=host&X-Amz-Signature=2cb34210e5f47f6a58dd887fe9dd06b5a8c5b381292010f324e3ae3a2c866285","-Jeffrey-","https://women.volleybox.net/tr/user/-Jeffrey-","","","",""
",  Week Two","2025-06-18 17:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/netherlands-poland-c300080","2 gün önce önce  tarafından eklendi","","","52","","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-20 17:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/france-netherlands-c300090","2 gün önce önce  tarafından eklendi","","","30","","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-21 17:30","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/netherlands-usa-c300096","2 gün önce önce  tarafından eklendi","","","29","","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
",  Week Two","2025-06-22 14:00","Voleybol Milletler Ligi 2025","https://women.volleybox.net/tr/women-volleyball-nations-league-2025-o35194/matches","Štark Arena, Belgrade","https://women.volleybox.net/tr/stark-arena-a367/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 0","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","Hollanda","https://women.volleybox.net/tr/germany-netherlands-c300117","1 gün önce önce  tarafından eklendi","","","25","","","","Michał","https://women.volleybox.net/tr/user/michal9408","",""
