"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","show_movies href","connected_by","rank_newbie","rank_newbie href","rank_user","rank_user href","show_movies 2"
",  Group K","2015-07-04 16:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Guillermo Angulo, Carolina","https://women.volleybox.net/tr/coliseo-guillermo-angulo-a3247/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 1","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","Polonya","https://women.volleybox.net/tr/puerto-rico-poland-c63126","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-010.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group K","2015-07-05 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Coliseo Guillermo Angulo, Carolina","https://women.volleybox.net/tr/coliseo-guillermo-angulo-a3247/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","2 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","Bulgaristan","https://women.volleybox.net/tr/puerto-rico-bulgaria-c63128","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-012.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group M","2015-07-10 12:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/puerto-rico-czech-republic-c63135","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-019.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group M","2015-07-11 10:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/croatia-puerto-rico-c63137","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-021.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group M","2015-07-12 12:40","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Arena Samokov, Sofia","https://women.volleybox.net/tr/arena-samokov-a41/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/bulgaria-puerto-rico-c63140","1","http://www.fivb.org/vis_web/volley/WGP2015b/WGP2015b_p2-024.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group B","2015-07-16 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/brazil-puerto-rico-c611","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/P2%20WOMEN%20MATCH%201%20BRA%20VS%20PUR.pdf","9 yıl önce önce  tarafından eklendi","","","mvs","https://women.volleybox.net/tr/user/mvs",""
",  Group B","2015-07-18 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/usa-puerto-rico-c68371","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/Women/P2%20WOMEN%20MATCH%208%20USA%20PUR.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  Group B","2015-07-20 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/puerto-rico-peru-c68372","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/Women/P2%20WOMEN%20MATCH%2011%20PUR%20VS%20PER.pdf","4 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop","","",""
",  quarterfinal","2015-07-22 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/argentina-puerto-rico-c617","1","http://www.norceca.net/2015%20Events/TOROTO%202015/Volleyballl/P%202-3/Women/P2%20WOMEN%20MATCH%2013%20ARG%20VS%20PUR.pdf","9 yıl önce önce  tarafından eklendi","","","mvs","https://women.volleybox.net/tr/user/mvs",""
",  semi-final","2015-07-23 01:00","Pan Amerikan Oyunları 2015","https://women.volleybox.net/tr/women-pan-american-games-2015-o997/matches","Ricoh Coliseum Hall, Toronto","https://women.volleybox.net/tr/ricoh-coliseum-hall-a93/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/brazil-puerto-rico-c612","1","http://results.toronto2015.org/IRS/resTO2015/pdf/TO2015/VO/TO2015_VO_C73_VOW400201.pdf","9 yıl önce önce  tarafından eklendi","","","mvs","https://women.volleybox.net/tr/user/mvs",""
