"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_predictions","show_movies","show_movies href"
",  Group B","2018-05-20","NORCECA Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2018-o10469/matches","Edmonton Expo Centre, Edmonton","https://women.volleybox.net/tr/edmonton-expo-centre-a5586/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","0 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/cuba-puerto-rico-c148656","2 yıl önce önce  tarafından eklendi","B…2","","","",""
",  final","2018-05-21 03:00","NORCECA Challenger Cup Qualification 2018","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2018-o10469/matches","Edmonton Expo Centre, Edmonton","https://women.volleybox.net/tr/edmonton-expo-centre-a5586/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/canada-puerto-rico-c148658","2 yıl önce önce  tarafından eklendi","B…2","","","",""
",  Group B","2018-06-21 23:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","Avustralya","https://women.volleybox.net/tr/puerto-rico-australia-c23774","5 yıl önce önce  tarafından eklendi","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres","","",""
",  Group B","2018-06-22 23:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/puerto-rico-bulgaria-c23775","5 yıl önce önce  tarafından eklendi","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres","","",""
",  semi-final","2018-06-23 23:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/colombia-puerto-rico-c23776","5 yıl önce önce  tarafından eklendi","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres","","",""
",  3rd place match","2018-06-24 22:00","Challenger Cup 2018","https://women.volleybox.net/tr/women-challenger-cup-2018-o5976/matches","Coliseo Eduardo Dibós, Lima","https://women.volleybox.net/tr/coliseo-eduardo-dibos-a841/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/puerto-rico-peru-c23778","5 yıl önce önce  tarafından eklendi","Pedro Henrique Torres","https://women.volleybox.net/tr/user/phtorres","","",""
",  Group B","2018-07-09 01:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c10267","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","",""
",  Group B","2018-07-09 18:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/img/light-px.png","Trinidad ve Tobago","https://women.volleybox.net/tr/puerto-rico-trinidad-and-tobago-c10271","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","",""
",  Group B","2018-07-11 01:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/usa-puerto-rico-c10287","6 yıl önce önce  tarafından eklendi","Anderson Antunes","https://women.volleybox.net/tr/user/Anderson-Antunes","","",""
",  quarterfinal","2018-07-11 21:00","Pan American Cup 2018","https://women.volleybox.net/tr/women-pan-american-cup-2018-o5649/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/dominican-republic-puerto-rico-c10310","6 yıl önce önce  tarafından eklendi","","","","",""
