"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies 2","show_movies href","rank_moderator","rank_moderator href"
",  Group A","2019-08-03 18:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Hala Orbita, Wrocław","https://women.volleybox.net/tr/hala-orbita-a1497/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/serbia-puerto-rico-c176649","2 yıl önce önce  tarafından eklendi","J…e","","","","",""
",  Group A","2019-08-04 18:00","Dünya Olimpiyat Elemeleri 2021","https://women.volleybox.net/tr/women-world-olympic-qualification-2021-o30237/matches","Hala Orbita, Wrocław","https://women.volleybox.net/tr/hala-orbita-a1497/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","1 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/puerto-rico-thailand-c176651","2 yıl önce önce  tarafından eklendi","J…e","","","","",""
",  1st round","2020-01-11 02:10","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/canada-puerto-rico-c25695","5 yıl önce önce  tarafından eklendi","S…k","1","","","",""
",  2nd round","2020-01-12","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/puerto-rico-mexico-c25697","5 yıl önce önce  tarafından eklendi","S…k","","","","",""
",  3rd round","2020-01-13 01:00","NORCECA Olimpiyat Kalifikasyonu 2021","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2021-o9752/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/dominican-republic-puerto-rico-c25700","5 yıl önce önce  tarafından eklendi","S…k","","","","",""
",  Group A","2021-08-26 22:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/usa-puerto-rico-c81942","3 yıl önce önce  tarafından eklendi","","1","1","http://norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/P2%20MATCH%201.pdf","avid","https://women.volleybox.net/tr/user/avid"
",  Group A","2021-08-29 01:30","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/puerto-rico-canada-c81949","3 yıl önce önce  tarafından eklendi","","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%208%20-%20P-3%20(Match%20players%20ranking).pdf","avid","https://women.volleybox.net/tr/user/avid"
",  quarterfinal","2021-08-30 04:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/mexico-puerto-rico-c82290","3 yıl önce önce  tarafından eklendi","","","","","",""
",  semi-final","2021-08-31 01:30","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/canada-puerto-rico-c82342","3 yıl önce önce  tarafından eklendi","","","1","https://www.norceca.net/2021%20Events/NORCECA%20Continetals%20Champ/Women-Guadalajara%20Mexico/Stats/WNOR2021%20-%20Match%2013%20-%20P-3%20(Match%20players%20ranking).pdf","avid","https://women.volleybox.net/tr/user/avid"
",  final","2021-09-01 04:00","NORCECA Şampiyonası 2021","https://women.volleybox.net/tr/women-norceca-championships-2021-o21588/matches","Arena Astros, Guadalajara","https://women.volleybox.net/tr/arena-astros-a3744/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/dominican-republic-puerto-rico-c82390","3 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid"
