"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","connected_by","rank_user","rank_user href","show_movies 2","show_movies href","rank_moderator","rank_moderator href","show_movies 3"
",  semi-final","2022-07-30 21:00","Challenger Cup 2022","https://women.volleybox.net/tr/women-challenger-cup-2022-o23203/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 1","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/croatia-puerto-rico-c123764","30","1","2 yıl önce önce  tarafından eklendi","Adrian HS","https://women.volleybox.net/tr/user/AdrianHS","","","","",""
",  3rd place match","2022-07-31 18:00","Challenger Cup 2022","https://women.volleybox.net/tr/women-challenger-cup-2022-o23203/matches","Krešimir Ćosić Hall, Zadar","https://women.volleybox.net/tr/kresimir-cosic-hall-a2106/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 1","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/upload/teams/nt_flag_Colombia.png","Kolombiya","https://women.volleybox.net/tr/puerto-rico-colombia-c124018","20","1","2 yıl önce önce  tarafından eklendi","Adrian HS","https://women.volleybox.net/tr/user/AdrianHS","","","","",""
",  Group A","2022-08-23 04:00","Pan American Cup 2022","https://women.volleybox.net/tr/women-pan-american-cup-2022-o21637/matches","Arena Sorona, Hermosillo","https://women.volleybox.net/tr/arena-sorona-a4779/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/usa-puerto-rico-c124534","","1","2 yıl önce önce  tarafından eklendi","","","1","http://norceca.net/2022%20Events/XIX%20Women%20Pan-American%20Cup/Calendars%20WSPAN22/P2%20WPANAM22%20-%20Match%207.pdf","avid","https://women.volleybox.net/tr/user/avid",""
",  Group A","2022-08-24 04:00","Pan American Cup 2022","https://women.volleybox.net/tr/women-pan-american-cup-2022-o21637/matches","Arena Sorona, Hermosillo","https://women.volleybox.net/tr/arena-sorona-a4779/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/dominican-republic-puerto-rico-c124536","","","2 yıl önce önce  tarafından eklendi","","","1","http://norceca.net/2022%20Events/XIX%20Women%20Pan-American%20Cup/Calendars%20WSPAN22/P2%20WPANAM22%20-%20Match%2011.pdf","avid","https://women.volleybox.net/tr/user/avid",""
",  Group A","2022-08-25 04:00","Pan American Cup 2022","https://women.volleybox.net/tr/women-pan-american-cup-2022-o21637/matches","Arena Sorona, Hermosillo","https://women.volleybox.net/tr/arena-sorona-a4779/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/puerto-rico-peru-c124538","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  Group A","2022-08-26","Pan American Cup 2022","https://women.volleybox.net/tr/women-pan-american-cup-2022-o21637/matches","Arena Sorona, Hermosillo","https://women.volleybox.net/tr/arena-sorona-a4779/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/puerto-rico-costa-rica-c124539","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  quarterfinal","2022-08-27 04:00","Pan American Cup 2022","https://women.volleybox.net/tr/women-pan-american-cup-2022-o21637/matches","Arena Sorona, Hermosillo","https://women.volleybox.net/tr/arena-sorona-a4779/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/mexico-puerto-rico-c127514","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  5th place match","2022-08-29","Pan American Cup 2022","https://women.volleybox.net/tr/women-pan-american-cup-2022-o21637/matches","Arena Sorona, Hermosillo","https://women.volleybox.net/tr/arena-sorona-a4779/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/cuba-puerto-rico-c127555","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  round robin - 1st round","2022-09-04 22:00","NORCECA Pan American Cup Final Six 2022","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2022-o25620/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/puerto-rico-canada-c125134","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  round robin - 2nd round","2022-09-06","NORCECA Pan American Cup Final Six 2022","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2022-o25620/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/usa-puerto-rico-c125138","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
",  round robin - 3rd round","2022-09-07 02:00","NORCECA Pan American Cup Final Six 2022","https://women.volleybox.net/tr/women-norceca-pan-american-cup-final-six-2022-o25620/matches","Palacio del Voleibol Prof. Ricardo G. Arias, Santo Domingo","https://women.volleybox.net/tr/palacio-del-voleibol-prof-ricardo-g-arias-a136/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/dominican-republic-puerto-rico-c125142","","","2 yıl önce önce  tarafından eklendi","","","","","avid","https://women.volleybox.net/tr/user/avid",""
