"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies","connected_by","rank_moderator","rank_moderator href","show_predictions","show_movies 2","show_movies href","show_movies 3","rank_user"
",  Round Robin","2023-06-11 03:00","NORCECA Challenger Cup Qualification 2024","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2024-o30101/matches","Coliseo Dolores Toyita Martinez, Juana Díaz","https://women.volleybox.net/tr/coliseo-dolores-toyita-martinez-a6020/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 0","https://women.volleybox.net/tr/trinidad-and-tobago-t1225/matches","https://volleybox.net/media/upload/teams/nt_flag_Trinidad_and_Tobago.png","Trinidad ve Tobago","https://women.volleybox.net/tr/puerto-rico-trinidad-and-tobago-c174981","1","2 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","","","","",""
",  Round Robin","2023-06-12 03:00","NORCECA Challenger Cup Qualification 2024","https://women.volleybox.net/tr/women-norceca-challenger-cup-qualification-2024-o30101/matches","Coliseo Dolores Toyita Martinez, Juana Díaz","https://women.volleybox.net/tr/coliseo-dolores-toyita-martinez-a6020/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/upload/teams/nt_flag_Costa_Rica.png","Kosta Rika","https://women.volleybox.net/tr/puerto-rico-costa-rica-c174983","","2 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","","","","",""
",  Group B","2023-09-16 07:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/upload/teams/nt_flag_Turkey.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/turkey-puerto-rico-c176685","1","2 yıl önce önce  tarafından eklendi","","","61","1","https://women.volleybox.net/tr/frame/match_report/0/48159","5","J…e"
",  Group B","2023-09-17 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/belgium-puerto-rico-c176688","1","2 yıl önce önce  tarafından eklendi","","","74","1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-qualifying-tournament/schedule/16674/","1","J…e"
",  Group B","2023-09-19 13:30","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","Porto Riko","https://women.volleybox.net/tr/japan-puerto-rico-c176695","1","2 yıl önce önce  tarafından eklendi","","","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624421","1","J…e"
",  Group B","2023-09-20 10:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/brazil-puerto-rico-c176698","1","2 yıl önce önce  tarafından eklendi","","","79","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256624529","1","J…e"
",  Group B","2023-09-22 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/puerto-rico-argentina-c176700","1","2 yıl önce önce  tarafından eklendi","","","83","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256625496","1","J…e"
",  Group B","2023-09-23 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/puerto-rico-peru-c176704","1","2 yıl önce önce  tarafından eklendi","","","81","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626038","1","J…e"
",  Group B","2023-09-24 04:00","Dünya Olimpiyat Elemeleri 2024","https://women.volleybox.net/tr/women-world-olympic-qualification-2024-o30230/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/bulgaria-puerto-rico-c176708","1","2 yıl önce önce  tarafından eklendi","","","82","1","https://www.fivb.org/vis2009/getdocument.asmx?no=256626400","1","J…e"
",  Round Robin","2024-06-08 03:00","NORCECA Final Four 2024","https://women.volleybox.net/tr/women-norceca-final-four-2024-o34408/matches","El Coliseo Salvador Dijols, Ponce","https://women.volleybox.net/tr/el-coliseo-salvador-dijols-a5536/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/puerto-rico-costa-rica-c233276","","1 yıl önce önce  tarafından eklendi","avid","https://women.volleybox.net/tr/user/avid","","","","",""
