"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","show_movies href","rank_editor","rank_editor href"
",  Group A","2019-06-02 20:30","Avrupa Gümüş Ligi 2019","https://women.volleybox.net/tr/women-european-silver-league-2019-o8438/matches","Romema Sports Arena, Haifa","https://women.volleybox.net/tr/romema-sports-arena-a962/matches","İsrail","https://women.volleybox.net/tr/israel-t919/matches","https://volleybox.net/media/upload/teams/nt_flag_Israel.png","3 : 2","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","Romanya","https://women.volleybox.net/tr/israel-romania-c16111","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group A","2019-06-08 18:00","Avrupa Gümüş Ligi 2019","https://women.volleybox.net/tr/women-european-silver-league-2019-o8438/matches","Sala Polivalenta, Alexandria","https://women.volleybox.net/tr/sala-polivalenta-a1433/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/upload/teams/nt_flag_Romania.png","3 : 0","https://women.volleybox.net/tr/israel-t919/matches","https://volleybox.net/media/upload/teams/nt_flag_Israel.png","İsrail","https://women.volleybox.net/tr/romania-israel-c16113","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group A","2019-06-12 18:00","Avrupa Gümüş Ligi 2019","https://women.volleybox.net/tr/women-european-silver-league-2019-o8438/matches","Sala Polivalenta, Alexandria","https://women.volleybox.net/tr/sala-polivalenta-a1433/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cyprus-t790/matches","https://volleybox.net/media/img/light-px.png","Kıbrıs","https://women.volleybox.net/tr/romania-cyprus-c16116","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group A","2019-06-15 20:00","Avrupa Gümüş Ligi 2019","https://women.volleybox.net/tr/women-european-silver-league-2019-o8438/matches","Tbilisi Sports Palace, Tbilisi","https://women.volleybox.net/tr/tbilisi-sports-palace-a830/matches","Georgia","https://women.volleybox.net/tr/georgia-t850/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/georgia-romania-c16118","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group A","2019-06-18 20:30","Avrupa Gümüş Ligi 2019","https://women.volleybox.net/tr/women-european-silver-league-2019-o8438/matches","Tassos Papadopoulos Eleftheria, Nicosia","https://women.volleybox.net/tr/tassos-papadopoulos-eleftheria-a614/matches","Kıbrıs","https://women.volleybox.net/tr/cyprus-t790/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/cyprus-romania-c16110","6 yıl önce önce  tarafından eklendi","S…k","","","",""
",  final - 1st match","2019-06-25 20:30","Avrupa Gümüş Ligi 2019","https://women.volleybox.net/tr/women-european-silver-league-2019-o8438/matches","ŠD Mislinja, Mislinja","https://women.volleybox.net/tr/sd-mislinja-a1435/matches","Slovenya","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/slovenia-romania-c16466","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  final - 2nd match","2019-06-28 18:00","Avrupa Gümüş Ligi 2019","https://women.volleybox.net/tr/women-european-silver-league-2019-o8438/matches","Sala Polivalenta, Alexandria","https://women.volleybox.net/tr/sala-polivalenta-a1433/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/slovenia-t1174/matches","https://volleybox.net/media/img/light-px.png","Slovenya","https://women.volleybox.net/tr/romania-slovenia-c16467","5 yıl önce önce  tarafından eklendi","S…k","","","",""
",  Group C","2019-08-23 19:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/netherlands-romania-c14184","6 yıl önce önce  tarafından eklendi","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32167","uwit","https://women.volleybox.net/tr/user/uwit"
",  Group C","2019-08-24 22:30","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Romanya","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/hungary-t898/matches","https://volleybox.net/media/img/light-px.png","Macaristan","https://women.volleybox.net/tr/romania-hungary-c14215","6 yıl önce önce  tarafından eklendi","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32170","uwit","https://women.volleybox.net/tr/user/uwit"
",  Group C","2019-08-25 20:00","Avrupa Şampiyonası 2019","https://women.volleybox.net/tr/women-european-championships-2019-o5975/matches","Papp László Budapest Sportaréna, Budapest","https://women.volleybox.net/tr/papp-laszlo-budapest-sportarena-a1393/matches","Estonya","https://women.volleybox.net/tr/estonia-t823/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/romania-t1126/matches","https://volleybox.net/media/img/light-px.png","Romanya","https://women.volleybox.net/tr/estonia-romania-c14217","6 yıl önce önce  tarafından eklendi","","1","https://www.cev.eu/Competition-Area/MatchStatistics.aspx?ID=32172","uwit","https://women.volleybox.net/tr/user/uwit"
